v,m,t
"[[1.50821467e-04 2.04851503e-01 6.00283750e-03 6.74579988e-03
  2.85266769e-02 1.60770612e-03 1.32510632e+00 6.78643313e-02
  8.45053015e-02 6.69168973e-03 2.64789890e-02 4.82701988e-01
  2.88324347e-02 1.26272155e-01 4.89865389e-05 9.86687578e-06
  1.76713347e-01 5.37447136e-01 2.92722128e-01 6.75246475e-02
  7.97288625e-03 1.18955091e-04 1.98157701e-01 6.59873118e-03
  2.95435409e-02 3.43493286e-03 4.82907273e-02 4.08529989e-02
  5.76426913e-03 1.23052059e-01 1.76162098e-03 2.36545674e-01
  4.67770088e-01 8.47425365e-04 6.89588310e-02 4.76979024e-03
  7.82810910e-33 2.68461701e-32 1.19040135e-01 9.17459581e-02
  6.78486963e-33 5.81135496e-32 2.60393693e-01 4.80296838e-01
  3.42291700e-33 1.06438838e-32 1.72469571e-32 1.10943786e-33]]","[[-1.22809392e-02  4.52605240e-01  7.74779807e-02 -8.21328185e-02
  -1.68898422e-01  4.00962108e-02  1.15113263e+00 -2.60507834e-01
   2.90697956e-01  8.18027489e-02  1.62723659e-01  6.94767578e-01
  -1.69801162e-01  3.55347935e-01 -6.99903843e-03  3.14115835e-03
  -4.20372866e-01  7.33107861e-01 -5.41038009e-01  2.59855051e-01
  -8.92910200e-02 -1.09066535e-02 -4.45149077e-01  8.12325746e-02
   1.71882346e-01 -5.86083002e-02  2.19751513e-01 -2.02121248e-01
  -7.59227840e-02  3.50787769e-01  4.19716688e-02  4.86359614e-01
  -6.83937196e-01  2.91105714e-02 -2.62600135e-01  6.90636680e-02
   8.84766020e-17  1.63848009e-16  3.45021934e-01 -3.02895953e-01
  -8.23703201e-17 -2.41067521e-16 -5.10287853e-01  6.93034514e-01
   5.85057006e-17  1.03169200e-16  1.31327671e-16 -3.33082251e-17]]",1
"[[3.03861616e-04 4.09959313e-01 1.23189376e-02 1.31660478e-02
  5.66917013e-02 3.33176835e-03 2.63165884e+00 1.35565012e-01
  1.68804689e-01 1.32744201e-02 5.27351587e-02 9.62272494e-01
  5.71357548e-02 2.49133614e-01 7.76002546e-05 3.35733965e-05
  3.50337438e-01 1.07079723e+00 5.83134772e-01 1.35299984e-01
  1.58981076e-02 1.96793235e-04 3.95697249e-01 1.32907775e-02
  5.75375431e-02 6.80348149e-03 9.48501792e-02 8.10931686e-02
  1.15408930e-02 2.43749427e-01 3.14287816e-03 4.69508480e-01
  9.34666371e-01 1.71505333e-03 1.35928423e-01 9.54581551e-03
  8.25173709e-32 3.03204711e-32 2.36191839e-01 1.81174522e-01
  4.51391644e-32 8.34838442e-32 5.21166398e-01 9.56116032e-01
  3.39858035e-33 1.05374450e-32 1.70744875e-32 4.29443056e-33]]","[[-2.34845935e-02  8.62489006e-01  1.49580846e-01 -1.54465833e-01
  -3.20680721e-01  7.78015666e-02  2.18484641e+00 -4.95951455e-01
   5.53423363e-01  1.55167843e-01  3.09303863e-01  1.32127755e+00
  -3.21911686e-01  6.72125759e-01 -1.16939081e-02  7.70609873e-03
  -7.97132934e-01  1.39377566e+00 -1.02854280e+00  4.95500169e-01
  -1.69832305e-01 -1.87057404e-02 -8.47312045e-01  1.55316578e-01
   3.22888754e-01 -1.11081834e-01  4.14668867e-01 -3.83524350e-01
  -1.44712876e-01  6.64890733e-01  7.51760178e-02  9.22830097e-01
  -1.30225592e+00  5.57985381e-02 -4.96453905e-01  1.31610330e-01
  -1.93807601e-16  2.08641331e-16  6.54528615e-01 -5.73182509e-01
  -2.70148960e-16 -3.78055244e-16 -9.72461408e-01  1.31700025e+00
   5.58003679e-17  9.28522798e-17  1.18194904e-16 -8.65113488e-17]]",2
"[[4.58761739e-04 6.15327994e-01 1.89585843e-02 1.92741623e-02
  8.44894114e-02 5.17606506e-03 3.91971097e+00 2.03080833e-01
  2.52898545e-01 1.97509777e-02 7.87714866e-02 1.43872194e+00
  8.49071567e-02 3.68611001e-01 9.10949120e-05 7.68572825e-05
  5.20891279e-01 1.60000591e+00 8.71215188e-01 2.03315939e-01
  2.37725668e-02 2.41897682e-04 5.92612864e-01 2.00767782e-02
  8.40231898e-02 1.01058288e-02 1.39703085e-01 1.20720147e-01
  1.73274748e-02 3.62107798e-01 4.18911497e-03 6.98905552e-01
  1.40072410e+00 2.60445109e-03 2.00926206e-01 1.43306850e-02
  1.28537263e-31 3.26082078e-32 3.51459453e-01 2.68305946e-01
  1.47441049e-31 1.78198351e-31 7.82263813e-01 1.42743061e+00
  3.36459455e-33 2.25049050e-32 1.69037427e-32 4.25148625e-33]]","[[-3.37035022e-02  1.23391715e+00  2.16859226e-01 -2.18011497e-01
  -4.57030662e-01  1.13352858e-01  3.11282098e+00 -7.08790056e-01
   7.90966504e-01  2.20948672e-01  4.41357155e-01  1.88633856e+00
  -4.58073597e-01  9.54153392e-01 -1.43021700e-02  1.35400040e-02
  -1.13462129e+00  1.98918830e+00 -1.46782482e+00  7.09330019e-01
  -2.42478536e-01 -2.36960977e-02 -1.21076896e+00  2.22964896e-01
   4.55102225e-01 -1.58028642e-01  5.87214615e-01 -5.46263709e-01
  -2.07066004e-01  9.45958656e-01  1.00486233e-01  1.31437780e+00
  -1.86152608e+00  8.03276248e-02 -7.04407169e-01  1.88308638e-01
   4.20103681e-17  1.36875907e-16  9.32047374e-01 -8.14097673e-01
   7.74174547e-17 -3.11391487e-17 -1.39126670e+00  1.87875227e+00
   5.02203311e-17  1.93443503e-16  1.06375413e-16 -7.78602140e-17]]",3
"[[6.14988546e-04 8.20969415e-01 2.59331917e-02 2.50850462e-02
  1.11914752e-01 7.14419853e-03 5.18930858e+00 2.70381288e-01
  3.36787634e-01 2.61245456e-02 1.04590455e-01 1.91204882e+00
  1.12144476e-01 4.84723655e-01 9.47933911e-05 1.45156241e-04
  6.88397953e-01 2.12503648e+00 1.15692755e+00 2.71556467e-01
  3.15934812e-02 2.62715001e-04 7.88906440e-01 2.69578349e-02
  1.09042155e-01 1.33446348e-02 1.82880258e-01 1.59737753e-01
  2.31216111e-02 4.78138297e-01 4.94547872e-03 9.24744408e-01
  1.86601135e+00 3.51759536e-03 2.63978824e-01 1.91292973e-02
  1.44090351e-31 3.55115009e-32 4.64847112e-01 3.53165779e-01
  1.47856027e-31 1.76557549e-31 1.04363235e+00 1.89422872e+00
  8.09979812e-33 2.26381358e-32 3.73445678e-32 6.22174846e-33]]","[[-4.30144146e-02  1.57073701e+00  2.79814861e-01 -2.73693413e-01
  -5.79465141e-01  1.46960804e-01  3.94556454e+00 -9.01219355e-01
   1.00583937e+00  2.79915988e-01  5.60336990e-01  2.39607000e+00
  -5.79856187e-01  1.20485763e+00 -1.50189109e-02  2.04966913e-02
  -1.43674981e+00  2.52581732e+00 -1.86365132e+00  9.03488864e-01
  -3.08000611e-01 -2.61468921e-02 -1.53938051e+00  2.84821983e-01
   5.70399954e-01 -2.00017337e-01  7.39619192e-01 -6.92198569e-01
  -2.63608423e-01  1.19726968e+00  1.18691015e-01  1.66546247e+00
  -2.36768445e+00  1.02941049e-01 -8.89038756e-01  2.39776560e-01
   1.67572428e-16  6.63607243e-17  1.18075235e+00 -1.02856439e+00
   2.62086132e-17 -3.99072371e-17 -1.77097639e+00  2.38447088e+00
   1.14255155e-16  1.55170872e-16 -4.78234828e-17 -1.14938177e-16]]",4
"[[7.71807187e-04 1.02690829e+00 3.32564050e-02 3.06158702e-02
  1.38963372e-01 9.23948784e-03 6.44048481e+00 3.37422405e-01
  4.20472992e-01 3.23989998e-02 1.30194714e-01 2.38223582e+00
  1.38846268e-01 5.97478655e-01 9.40948786e-05 2.43435278e-04
  8.52886021e-01 2.64585971e+00 1.44021676e+00 3.39997507e-01
  3.93583573e-02 2.67746598e-04 9.84593387e-01 3.39357082e-02
  1.32636719e-01 1.65261200e-02 2.24420461e-01 1.98155217e-01
  2.89207832e-02 5.91844593e-01 5.45708174e-03 1.14701973e+00
  2.33064308e+00 4.45698062e-03 3.25124359e-01 2.39498868e-02
  1.46040852e-31 2.21963011e-31 5.76358061e-01 4.35785133e-01
  1.53337787e-31 2.47563573e-31 1.30521597e+00 2.35651689e+00
  8.01880014e-33 2.24117545e-32 3.91915755e-32 6.15953098e-33]]","[[-5.14788859e-02  1.87642520e+00  3.38911186e-01 -3.22361394e-01
  -6.89351185e-01  1.78812885e-01  4.69252871e+00 -1.07519007e+00
   1.20030328e+00  3.32768064e-01  6.67552070e-01  2.85596818e+00
  -6.88673555e-01  1.42730369e+00 -1.40164409e-02  2.84335431e-02
  -1.70704590e+00  3.00949206e+00 -2.22029493e+00  1.07989193e+00
  -3.67093881e-01 -2.62996470e-02 -1.83663645e+00  3.41471751e-01
   6.70474519e-01 -2.37591046e-01  8.73909537e-01 -8.23015813e-01
  -3.14903155e-01  1.42176311e+00  1.30508573e-01  1.98008435e+00
  -2.82610796e+00  1.23864907e-01 -1.05269244e+00  2.86593554e-01
   2.09050948e-16 -3.72486668e-16  1.40349880e+00 -1.21922288e+00
   1.07016286e-16 -3.05678629e-16 -2.11543406e+00  2.83973155e+00
   1.02829640e-16  1.39653785e-16  4.08055267e-18 -1.03444359e-16]]",5
"[[9.28229565e-04 1.23318978e+00 4.09456748e-02 3.58871550e-02
  1.65631770e-01 1.14649265e-02 7.67325189e+00 4.04140630e-01
  5.03955707e-01 3.85792953e-02 1.55587765e-01 2.84924404e+00
  1.65011917e-01 7.06863885e-01 9.45258621e-05 3.75903138e-04
  1.01439174e+00 3.16245487e+00 1.72099924e+00 4.08603816e-01
  4.70649793e-02 2.65559636e-04 1.17971094e+00 4.10131363e-02
  1.54849947e-01 1.96616773e-02 2.64373355e-01 2.35989065e-01
  3.47222205e-02 7.03218760e-01 5.76896929e-03 1.36570861e+00
  2.79480258e+00 5.42577716e-03 3.84415949e-01 2.88056336e-02
  1.47433504e-31 2.19759304e-31 6.85993583e-01 5.16201546e-01
  1.59215214e-31 2.57081261e-31 1.56695247e+00 2.81432588e+00
  1.37410923e-32 2.38371145e-32 4.31097622e-32 6.09793567e-33]]","[[-5.91427283e-02  2.15413263e+00  3.94584758e-01 -3.64807539e-01
  -7.87921386e-01  2.09075480e-01  5.36221039e+00 -1.23242085e+00
   1.37639361e+00  3.80140408e-01  7.64182904e-01  3.27096438e+00
  -7.85800513e-01  1.62422023e+00 -1.14435017e-02  3.72049300e-02
  -1.94869380e+00  3.44546467e+00 -2.54157441e+00  1.24024261e+00
  -4.20385635e-01 -2.43700421e-02 -2.10570174e+00  3.93445335e-01
   7.56853258e-01 -2.71284691e-01  9.91937907e-01 -9.40252199e-01
  -3.61455425e-01  1.62206689e+00  1.36600817e-01  2.26182488e+00
  -3.24168476e+00  1.43311832e-01 -1.19750885e+00  3.29315188e-01
   1.34731806e-16 -3.39228490e-16  1.60285335e+00 -1.38846079e+00
   1.82400691e-16 -1.65596733e-16 -2.42809354e+00  3.24956972e+00
   1.63726634e-17  8.50746449e-17  6.93238679e-17 -9.30999231e-17]]",6
"[[1.08296050e-03 1.43988802e+00 4.90240267e-02 4.09239607e-02
  1.91917394e-01 1.38230339e-02 8.88759294e+00 4.70445853e-01
  5.87236547e-01 4.46719515e-02 1.80774660e-01 3.31300674e+00
  1.90641703e-01 8.12841856e-01 1.01840523e-04 5.45623033e-04
  1.17296189e+00 3.67481170e+00 1.99915220e+00 4.77325349e-01
  5.47113850e-02 2.64816303e-04 1.37432698e+00 4.81941242e-02
  1.75725660e-01 2.27697192e-02 3.02802788e-01 2.73264960e-01
  4.05227272e-02 8.12237642e-01 5.92575365e-03 1.58076496e+00
  3.25876649e+00 6.42807491e-03 4.41925740e-01 3.37165608e-02
  1.94399001e-31 2.81206841e-31 7.93752169e-01 5.94459675e-01
  1.62472803e-31 2.62913688e-31 1.82876994e+00 3.26771735e+00
  3.92519407e-32 4.58542840e-32 4.68884418e-32 6.03695631e-33]]","[[-6.60352203e-02  2.40672593e+00  4.47255587e-01 -4.01782059e-01
  -8.76287680e-01  2.37894752e-01  5.96224354e+00 -1.37440816e+00
   1.53594173e+00  4.22615181e-01  8.51296789e-01  3.64547691e+00
  -8.72386757e-01  1.79802225e+00 -7.42514388e-03  4.66555769e-02
  -2.16457260e+00  3.83846913e+00 -2.83089002e+00  1.38604713e+00
  -4.68441774e-01 -2.05501915e-02 -2.34945870e+00  4.41227831e-01
   8.30915092e-01 -3.01642383e-01  1.09540927e+00 -1.04531436e+00
  -4.03717337e-01  1.80052289e+00  1.37585668e-01  2.51388233e+00
  -3.61888063e+00  1.61485349e-01 -1.32545526e+00  3.68487646e-01
  -9.88318843e-17 -5.57585504e-16  1.78112159e+00 -1.53844017e+00
   9.45205388e-17 -2.40706245e-16 -2.71205453e+00  3.61853979e+00
   1.74886137e-16  2.25750091e-16  1.27274277e-16 -8.37899308e-17]]",7
"[[1.23441610e-03 1.64711053e+00 5.75208443e-02 4.57564625e-02
  2.17818490e-01 1.63154626e-02 1.00834646e+01 5.36218020e-01
  6.70315481e-01 5.06855691e-02 2.05762643e-01 3.77342791e+00
  2.15736612e-01 9.15352364e-01 1.22133228e-04 7.54177736e-04
  1.32865601e+00 4.18293159e+00 2.27450812e+00 5.46095815e-01
  6.22957615e-02 2.74293683e-04 1.56854213e+00 5.54837187e-02
  1.95307493e-01 2.58765596e-02 3.39787778e-01 3.10017267e-01
  4.63184979e-02 9.18864936e-01 5.97081717e-03 1.79211638e+00
  3.72291825e+00 7.46927213e-03 4.97745555e-01 3.87104961e-02
  1.92483421e-31 2.78600740e-31 8.99630901e-01 6.70609750e-01
  2.59298935e-31 2.66520242e-31 2.09058587e+00 3.71678557e+00
  3.88594213e-32 4.53957412e-32 7.42206198e-32 5.97658675e-33]]","[[-7.21708196e-02  2.63682014e+00  4.97330122e-01 -4.34003725e-01
  -9.55453007e-01  2.65395228e-01  6.49948626e+00 -1.50244168e+00
   1.68059460e+00  4.60729885e-01  9.29861121e-01  3.98346123e+00
  -9.49468882e-01  1.95084433e+00 -2.06623377e-03  5.66191317e-02
  -2.35728980e+00  4.19277397e+00 -3.09125979e+00  1.51863187e+00
  -5.11772373e-01 -1.50129973e-02 -2.57053742e+00  4.85261362e-01
   8.93902635e-01 -3.29223599e-01  1.18590089e+00 -1.13949114e+00
  -4.42092019e-01  1.95921781e+00  1.34040869e-01  2.73910617e+00
  -3.96179000e+00  1.78585543e-01 -1.43834623e+00  4.04653270e-01
  -9.42787843e-17 -4.87475381e-16  1.94037608e+00 -1.67111783e+00
   3.98837285e-16 -1.37669227e-16 -2.97009725e+00  3.95076462e+00
   1.57397523e-16  2.03175081e-16  2.81283355e-16 -7.54109377e-17]]",8
"[[1.38088698e-03 1.85499178e+00 6.64701541e-02 5.04189086e-02
  2.43333562e-01 1.89423569e-02 1.12608215e+01 6.01313439e-01
  7.53191372e-01 5.66310906e-02 2.30561496e-01 4.23039156e+00
  2.40297786e-01 1.01433134e+00 1.61852315e-04 1.00170799e-03
  1.48154571e+00 4.68682545e+00 2.54686353e+00 6.14836721e-01
  6.98162390e-02 3.02827025e-04 1.76247679e+00 6.28868047e-02
  2.13636829e-01 2.90147531e-02 3.75417816e-01 3.46284201e-01
  5.21050319e-02 1.02306359e+00 5.94541175e-03 1.99966801e+00
  4.18772757e+00 8.55657039e-03 5.51980230e-01 4.38214216e-02
  1.92622924e-31 2.84414910e-31 1.00363072e+00 7.44702210e-01
  2.57279352e-31 3.18691807e-31 2.35231239e+00 4.16164720e+00
  4.18224937e-32 6.17898003e-32 7.34784136e-32 5.92083514e-33]]","[[-7.75559216e-02  2.84679661e+00  5.45190748e-01 -4.62157602e-01
  -1.02632062e+00  2.91676619e-01  6.98010895e+00 -1.61763602e+00
   1.81183273e+00  4.94983587e-01  1.00075448e+00  4.28846277e+00
  -1.01798006e+00  2.08459497e+00  4.53885971e-03  6.69281931e-02
  -2.52920805e+00  4.51222736e+00 -3.32536534e+00  1.63916887e+00
  -5.50836119e-01 -7.91917775e-03 -2.77132653e+00  5.25942419e-01
   9.46928703e-01 -3.54584678e-01  1.26486564e+00 -1.22395349e+00
  -4.76937981e-01  2.10002634e+00  1.26493638e-01  2.94003532e+00
  -4.27415775e+00  1.94814977e-01 -1.53784704e+00  4.38336648e-01
  -1.30285878e-16 -3.45990701e-16  2.08248744e+00 -1.78825692e+00
   3.35007650e-16  1.10270212e-16 -3.20471933e+00  4.24997159e+00
   1.99551351e-16  3.12657483e-16  2.53155020e-16 -6.58662822e-17]]",9
"[[1.52077082e-03 2.06367744e+00 7.59071514e-02 5.49469175e-02
  2.68460838e-01 2.17019710e-02 1.24196514e+01 6.65580577e-01
  8.35862025e-01 6.25213099e-02 2.55183320e-01 4.68377757e+00
  2.64326024e-01 1.10973589e+00 2.27617855e-04 1.28743388e-03
  1.63170867e+00 5.18650812e+00 2.81600279e+00 6.83465929e-01
  7.72707281e-02 3.59157069e-04 1.95624794e+00 7.04065007e-02
  2.30751251e-01 3.22192529e-02 4.09783275e-01 3.82101135e-01
  5.78773185e-02 1.12481139e+00 5.88839747e-03 2.20331369e+00
  4.65369610e+00 9.69924192e-03 6.04736058e-01 4.90854514e-02
  2.44629802e-31 3.06811040e-31 1.10576282e+00 8.16781555e-01
  2.89638748e-31 3.33670129e-31 2.61386651e+00 4.60242342e+00
  4.14042688e-32 6.23027412e-32 7.27436295e-32 5.86162679e-33]]","[[-8.21976159e-02  3.03880928e+00  5.91178881e-01 -4.86879829e-01
  -1.08970244e+00  3.16813999e-01  7.40967873e+00 -1.72097668e+00
   1.93098688e+00  5.25837765e-01  1.06477485e+00  4.56366900e+00
  -1.07875885e+00  2.20101677e+00  1.22937534e-02  7.74325529e-02
  -2.68246259e+00  4.80029545e+00 -3.53560675e+00  1.74870687e+00
  -5.86044542e-01  5.77174793e-04 -2.95397200e+00  5.63617574e-01
   9.90983048e-01 -3.78241752e-01  1.33362159e+00 -1.29974940e+00
  -5.08574738e-01  2.22465550e+00  1.15406273e-01  3.11894019e+00
  -4.55937499e+00  2.10379695e-01 -1.62546579e+00  4.70016188e-01
  -3.49492316e-16 -4.70263526e-16  2.20915422e+00 -1.89143542e+00
   4.88408435e-16  2.34021678e-16 -3.41817365e+00  4.51951938e+00
   1.79596216e-16  2.47763786e-16  2.27839518e-16 -5.92796540e-17]]",10
