"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 2.05355312 -0.71352265  2.41267094 -1.40952801 -0.7871143   2.165035
 -0.92339948 -1.51082789  1.79195807 -1.2355138  -1.07897844  1.81041838
  2.00029979 -0.55628105 -0.68659278 -1.0335335   2.15309667 -1.22323483
 -1.07557518  2.04047343  1.78807023 -1.02555087 -1.50325078 -0.79925546
 -1.35446962  2.53118129 -0.98332413  2.16033831 -1.35532449  2.3500372
 -0.98759767  2.09576709  1.66004496 -0.90206041 -0.95309198 -1.09877856
  2.09760361  2.34945306  1.73743876  2.44243616 -1.07723953 -0.95488602
  2.2443831   2.20674861 -0.81296449 -1.09913753  1.68278914  2.44379733
  1.87203353 -1.08066014  2.09235682 -1.2854841   1.71308826  1.551988
  1.96283962 -0.74498267  2.30143797 -0.65622524 -0.64722354 -0.62936575
  1.70965297 -0.78518621 -1.28449647  2.22932709  2.3909435  -1.35222621]",1
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 2.32275997 -0.98272951  2.14346409 -1.14032116 -0.51790745  2.43424185
 -0.65419263 -1.78003474  1.52275121 -0.96630695 -0.80977159  1.54121152
  1.73109293 -0.82548791 -0.95579964 -1.30274036  1.88388981 -0.95402798
 -0.80636832  2.30968028  1.51886337 -1.29475773 -1.77245764 -1.06846232
 -1.62367648  2.80038815 -0.71411728  1.89113146 -1.08611763  2.08083035
 -1.25680453  1.82656023  1.39083811 -1.17126727 -1.22229884 -1.36798542
  1.82839675  2.61865991  2.00664561  2.17322931 -1.34644638 -1.22409287
  2.51358995  2.47595546 -1.08217134 -1.36834438  1.951996    2.17459048
  2.14124038 -1.349867    1.82314996 -1.55469096  1.4438814   1.82119485
  2.23204648 -0.47577582  2.03223112 -0.38701838 -0.37801668 -0.3601589
  1.44044611 -0.51597936 -1.01528961  2.49853394  2.12173665 -1.62143307]",2
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 1.58555395 -1.71993553  2.88067011 -0.40311513  0.21929857  1.69703583
 -1.39139865 -1.04282872  2.25995724 -0.22910093 -0.07256557  2.27841754
  0.99388691 -1.56269393 -1.69300566 -2.03994638  2.62109583 -1.691234
 -1.54357435  3.0468863   0.78165735 -2.03196375 -1.03525162 -1.80566834
 -2.3608825   3.53759417 -1.4513233   1.15392543 -0.34891161  1.34362432
 -0.51959851  2.56376625  2.12804413 -1.90847329 -1.95950486 -2.10519144
  2.56560278  3.35586593  2.74385164  2.91043533 -2.08365241 -1.9612989
  1.77638393  1.73874944 -1.81937736 -2.1055504   1.21478998  2.9117965
  2.8784464  -2.08707302  2.56035599 -0.81748493  0.70667538  1.08398883
  2.9692525   0.2614302   1.29502509  0.35018764 -1.1152227   0.37704713
  0.70324009 -1.25318538 -1.75249563  1.76132792  1.38453062 -0.88422704]",3
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.61859278 -0.75297436  1.91370894 -1.3700763  -0.74766259  2.663997
 -0.42443749 -2.00978988  1.29299607 -1.19606209  0.8943956   1.31145638
  1.96084807 -0.59573276 -2.65996683 -3.00690754  1.65413467 -2.65819517
 -2.51053551  4.01384747 -0.18530382 -2.99892491 -2.00221278 -0.83870718
 -3.32784367  2.570633   -2.41828446  2.1208866  -1.31587278  2.31058549
  0.44736266  3.53072742  3.0950053  -0.94151212 -0.9925437  -1.13823027
  3.53256394  4.3228271   3.7108128   3.87739649 -1.11669124 -0.99433773
  2.74334509  0.77178827 -0.8524162  -1.13858924  2.18175114  3.87875766
  3.84540757 -3.05403419  3.52731715 -1.7844461  -0.26028578  2.05095
  3.93621367  1.22839137  0.32806393  1.3171488  -0.14826154  1.34400829
  1.67020126 -2.22014655 -2.7194568   0.79436676  0.41756946  0.08273412]",4
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.106402   -0.24078359  2.42589972 -0.85788552 -0.23547181  3.17618777
  0.08775329 -1.4975991   1.80518685 -1.70825287  1.40658638  1.82364716
  1.4486573  -1.10792354 -2.14777605 -3.51909832  2.16632545 -2.14600439
 -1.99834473  3.50165669  0.32688696 -2.48673413 -2.51440356 -1.35089795
 -3.84003444  2.05844222 -1.90609369  2.63307738 -1.82806355  1.79839471
 -0.06482812  4.0429182   2.58281452 -1.4537029  -1.50473448 -1.65042105
  4.04475472  3.81063632  4.22300358  3.36520572 -0.60450046 -0.48214695
  2.23115431  1.28397905 -1.36460698 -0.62639846  2.69394192  4.39094844
  4.35759835 -3.56622497  4.03950793 -1.27225532 -0.77247656  2.56314077
  3.42402289  0.71620059  0.84025471  0.80495803  0.36392924  0.83181751
  1.15801048 -2.73233733 -2.20726602  1.30655753  0.92976024  0.5949249 ]",5
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 2.15775928  1.81057369  0.37454244  1.19347176  1.81588546  1.1248305
  2.13911057  0.55375817 -0.24617043  0.34310441  3.45794366 -0.22771012
 -0.60269998  0.94343373 -0.09641877 -1.46774104  0.11496817 -0.09464711
 -4.04970201  5.55301397 -1.72447031 -4.53809141 -4.56576084 -3.40225523
 -5.89139172  0.00708495  0.14526359  0.5817201   0.22329372 -0.25296257
  1.98652916  6.09427548  0.53145724  0.59765438  0.5466228   0.40093623
  1.99339744  5.8619936   2.1716463   5.41656299  1.44685682  1.56921033
  0.17979704  3.33533633  0.6867503   1.42495882  0.64258464  2.33959116
  2.30624107 -5.61758224  1.98815065 -3.3236126   1.27888072  0.5117835
  1.37266561  2.76755787  2.89161199  2.8563153  -1.68742804 -1.21953977
 -0.8933468  -0.68098005 -4.2586233   3.35791481  2.98111751  2.64628218]",6
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.42608785  3.54224513  2.10621388  2.92514319  0.08421403  2.85650193
  3.87078201  2.28542961 -1.97784187 -1.38856703  1.72627222  1.50396132
  1.12897146 -0.7882377   1.63525267 -3.19941248 -1.61670327 -1.82631855
 -2.31803057  3.82134253 -3.45614175 -6.26976285 -6.29743228 -1.6705838
 -7.62306316 -1.72458649 -1.58640785  2.31339154  1.95496516 -1.984634
  3.7182006   7.82594691 -1.2002142  -1.13401706  2.27829424 -1.33073521
  0.26172601  7.59366504  3.90331774  7.14823443 -0.28481462  3.30088176
 -1.5518744   1.60366489 -1.04492114 -0.30671262  2.37425608  0.60791973
  0.57456963 -3.88591081  0.25647921 -1.59194116  3.01055215  2.24345493
 -0.35900583  1.03588643  1.15994055  1.12464387  0.0442434  -2.9512112
  0.83832464  1.05069139 -5.99029474  5.08958625  1.24944608  0.91461074]",7
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.14310213  2.97305515  1.5370239   3.49433317 -0.48497595  2.28731196
  4.43997199  1.71623963 -1.40865189 -1.95775701  1.15708224  0.93477134
  1.69816143 -1.35742768  1.06606269 -3.76860246 -2.18589324 -1.25712857
 -1.7488406   4.39053251 -2.88695178 -5.70057287 -5.7282423  -2.23977377
 -8.19225314 -2.29377647 -1.01721787  1.74420156  2.52415514 -2.55382398
  4.28739057  7.25675694 -0.63102422 -0.56482708  2.84748422 -0.76154524
  0.83091598  8.16285501  3.33412776  7.71742441 -0.8540046   3.87007174
 -0.98268443  1.03447492 -1.61411111  0.26247736  1.8050661   0.03872975
  1.14375961 -3.31672083 -0.31271076 -1.02275118  3.57974213  1.67426496
 -0.9281958   0.46669646  1.72913052  0.55545389 -0.52494658 -3.52040118
  1.40751461  0.48150141 -5.42110476  4.52039627  0.6802561   1.48380072]",8
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 1.52520806e+00  1.30474496e+00  3.20533410e+00  5.16264336e+00
 -2.15328614e+00  6.19001765e-01  6.10828218e+00  4.79294421e-02
 -3.07696208e+00 -3.62606720e+00 -5.11227950e-01 -7.33538851e-01
  2.98512389e-02 -3.02573787e+00  2.73437288e+00 -5.43691265e+00
 -3.85420344e+00  4.11181622e-01 -3.41715079e+00  6.05884270e+00
 -4.55526197e+00 -4.03226268e+00 -7.39655249e+00 -3.90808396e+00
 -6.52394294e+00 -6.25466275e-01 -2.68552806e+00  7.58913686e-02
  8.55844945e-01 -8.85513788e-01  5.95570076e+00  5.58844674e+00
  1.03728597e+00  1.10348311e+00  4.51579441e+00  9.06764957e-01
 -8.37394211e-01  6.49454482e+00  1.66581757e+00  9.38573460e+00
  8.14305594e-01  5.53838193e+00 -2.65099462e+00  2.70278511e+00
 -3.28242131e+00  1.93078755e+00  3.47337629e+00  1.70703994e+00
  2.81206980e+00 -1.64841064e+00 -1.98102096e+00 -2.69106138e+00
  1.91143194e+00  5.95476425e-03 -2.59650600e+00 -1.20161374e+00
  6.08203314e-02 -1.11285630e+00  1.14336361e+00 -5.18871137e+00
  3.07582481e+00 -1.18680878e+00 -3.75279457e+00  2.85208608e+00
 -9.88054092e-01 -1.84509475e-01]",9
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 1.30069322  1.08023012  3.42984894  4.93812852 -2.37780099  0.84351661
  5.88376733  0.27244429 -3.30147693 -3.40155235 -0.28671311 -0.50902401
 -0.19466361 -3.25025272  2.50985804 -5.6614275  -3.62968859  0.18666678
 -3.64166564  5.83432785 -4.77977681 -3.80774784 -7.62106734 -3.68356912
 -6.2994281  -0.84998112 -2.46101322 -0.14862348  1.08035979 -1.11002863
  6.18021561  5.3639319   0.81277113  1.32799795  4.74030925  0.68225011
 -0.61287937  6.71905967  1.44130273  9.61024944  1.03882044  5.76289678
 -2.87550946  2.47827026 -3.50693615  2.15530239  3.24886145  1.93155479
  3.03658464 -1.42389579 -1.75650611 -2.91557622  1.68691709  0.23046961
 -2.82102084 -1.42612858 -0.16369451 -1.33737115  0.91884877 -4.96419653
  2.85130996 -0.96229393 -3.97730941  2.62757124 -1.21256894  0.04000537]",10
