v,m,t
"[[1.79892268e+00 5.23717710e-01 1.27643140e+00 1.11335132e-01
  5.91667240e+00 2.49503074e+00 1.41360257e+00 2.24735477e-02
  3.54032272e-01 1.03726651e+00 8.53325496e-02 4.63354646e+00
  5.11019825e+00 2.25909939e+00 2.67257285e+00 6.19608136e-01
  1.18319462e+01 9.82844906e+00 3.45223050e+00 9.51353798e-03
  1.51760123e+00 5.19970977e-01 1.56618336e+00 6.84720239e-01
  2.20318588e+00 2.16538817e-01 7.69184781e-02 2.12741812e-01
  2.16823457e+00 1.90672376e+00 4.10732928e-03 4.26687728e+00
  2.25255818e+00 4.10464073e+00 7.99094656e-01 3.56633762e-01
  2.08533066e+00 3.31037141e-04 3.94117132e-01 1.96366672e+00
  2.86906327e+00 5.10921375e-01 6.21685268e+00 5.39719424e-01
  1.76005615e+00 3.45131458e+00 2.38348403e-02 3.01162355e-01
  6.22281383e+00 1.46006016e+00 5.61763281e+00 8.77855547e-01
  1.40189096e+00 2.99274758e-02 1.70431036e-01 1.35196145e-03
  9.88278617e+00 2.43013595e-32 2.99092223e-01 1.16954811e+00
  2.01336360e-31 2.22607536e+00 6.77111730e-01 1.05953951e-33
  1.53105885e-32 2.17388934e-32]]","[[-1.34123923e+00  7.23683432e-01 -1.12979264e+00 -3.33669196e-01
  -2.43242110e+00  1.57956663e+00 -1.18895020e+00  1.49911800e-01
  -5.95006111e-01 -1.01846282e+00 -2.92117356e-01 -2.15256741e+00
   2.26057476e+00 -1.50303007e+00 -1.63480055e+00 -7.87151914e-01
  -3.43975961e+00 -3.13503574e+00 -1.85801789e+00  9.75373671e-02
   1.23190959e+00  7.21090131e-01  1.25147248e+00  8.27478241e-01
  -1.48431327e+00 -4.65337315e-01  2.77341807e-01 -4.61239430e-01
  -1.47249264e+00  1.38084169e+00 -6.40884489e-02  2.06564210e+00
   1.50085249e+00 -2.02599129e+00 -8.93920945e-01 -5.97188213e-01
  -1.44406740e+00  1.81944261e-02 -6.27787489e-01 -1.40130893e+00
  -1.69383095e+00  7.14787643e-01 -2.49336172e+00  7.34655990e-01
   1.32667108e+00 -1.85777140e+00 -1.54385363e-01  5.48782612e-01
  -2.49455684e+00 -1.20832949e+00 -2.37015460e+00 -9.36939457e-01
  -1.18401476e+00 -1.72995595e-01 -4.12832940e-01 -3.67690284e-02
  -3.14368990e+00 -1.55888933e-16  5.46893246e-01 -1.08145647e+00
   4.48705204e-16  1.49200381e+00  8.22867991e-01  3.25505684e-17
   1.23735963e-16 -1.47441152e-16]]",1
"[[3.58486109e+00 1.05062515e+00 2.52484914e+00 2.14970653e-01
  1.17486828e+01 4.95890434e+00 2.81835687e+00 4.14636860e-02
  7.06096110e-01 2.03995652e+00 1.71697285e-01 9.22401245e+00
  1.00138871e+01 4.51752072e+00 5.28445263e+00 1.22382941e+00
  2.33969097e+01 1.94284873e+01 6.89845125e+00 1.71608372e-02
  3.04007478e+00 1.03852686e+00 3.08294111e+00 1.35743942e+00
  4.31924002e+00 4.31578402e-01 1.53889569e-01 4.20670399e-01
  4.28644213e+00 3.76425741e+00 1.10410200e-02 8.44471747e+00
  4.45014652e+00 8.14666639e+00 1.58466388e+00 7.07150582e-01
  4.12771397e+00 1.18761561e-03 8.05927901e-01 3.87373439e+00
  5.65262220e+00 1.01320443e+00 1.23353496e+01 1.06423482e+00
  3.45769992e+00 6.80949930e+00 4.94842463e-02 5.86544472e-01
  1.22702118e+01 2.84176576e+00 1.11137390e+01 1.75338831e+00
  2.77892094e+00 6.11691657e-02 3.69818582e-01 2.86613650e-03
  1.96388870e+01 5.40816131e-32 5.75950980e-01 2.34502393e+00
  1.99415792e-31 4.47891065e+00 1.34703032e+00 2.24499686e-33
  1.51574827e-32 2.15215045e-32]]","[[-2.55021904e+00  1.38079752e+00 -2.13983699e+00 -6.23951581e-01
  -4.61635371e+00  2.99921065e+00 -2.26122701e+00  2.73538345e-01
  -1.13183105e+00 -1.92312668e+00 -5.58232660e-01 -4.09063402e+00
   4.26045324e+00 -2.86302913e+00 -3.09569900e+00 -1.48972883e+00
  -6.51386542e+00 -5.93574519e+00 -3.53789107e+00  1.75774736e-01
   2.34873861e+00  1.37269072e+00  2.36423459e+00  1.56908858e+00
  -2.79810149e+00 -8.84856127e-01  5.28427058e-01 -8.73434159e-01
  -2.78807963e+00  2.61264835e+00 -1.41194657e-01  3.91346562e+00
   2.84077191e+00 -3.84405346e+00 -1.69534879e+00 -1.13251826e+00
  -2.73605776e+00  4.56988447e-02 -1.20979703e+00 -2.65031602e+00
  -3.20142417e+00  1.35562360e+00 -4.73011996e+00  1.38914134e+00
   2.50367734e+00 -3.51392202e+00 -2.99843546e-01  1.03092739e+00
  -4.71686694e+00 -2.26915055e+00 -4.48946731e+00 -1.78362380e+00
  -2.24504064e+00 -3.33293796e-01 -8.19982312e-01 -7.21778604e-02
  -5.96857698e+00  3.29721948e-17  1.02121213e+00 -2.06288474e+00
   3.94201666e-16  2.85114558e+00  1.56319271e+00 -5.28848401e-18
   1.11362367e-16 -1.32697037e-16]]",2
"[[5.35771784e+00 1.58051263e+00 3.74537850e+00 3.11018528e-01
  1.74954332e+01 7.39079975e+00 4.21388541e+00 5.72763225e-02
  1.05610488e+00 3.00805809e+00 2.59152069e-01 1.37705103e+01
  1.47160887e+01 6.77524644e+00 7.83524302e+00 1.81234961e+00
  3.46963795e+01 2.88009678e+01 1.03378167e+01 2.31413251e-02
  4.56699468e+00 1.55600235e+00 4.55074440e+00 2.01812957e+00
  6.34953634e+00 6.45029347e-01 2.30942739e-01 6.23659902e-01
  6.35535841e+00 5.57316520e+00 2.15187281e-02 1.25326737e+01
  6.59290726e+00 1.21248541e+01 2.35688717e+00 1.05141874e+00
  6.12731089e+00 2.79476513e-03 1.23544910e+00 5.73016700e+00
  8.35231087e+00 1.50675612e+00 1.83563307e+01 1.57347686e+00
  5.09366665e+00 1.00748031e+01 7.69938132e-02 8.56395440e-01
  1.81438822e+01 4.14772938e+00 1.64888031e+01 2.62626435e+00
  4.13150020e+00 9.37104395e-02 6.00044807e-01 4.54880959e-03
  2.92679083e+01 5.51633879e-32 8.31435354e-01 3.52594071e+00
  2.05687287e-31 6.75693367e+00 2.00932746e+00 2.95353582e-32
  4.46169528e-32 2.13062895e-32]]","[[-3.64007831e+00  1.97783255e+00 -3.04199748e+00 -8.74921355e-01
  -6.57633705e+00  4.27456240e+00 -3.22829838e+00  3.73570826e-01
  -1.61620106e+00 -2.72504796e+00 -8.01025799e-01 -5.83534358e+00
   6.02583222e+00 -4.09425741e+00 -4.39970739e+00 -2.11584206e+00
  -9.25857059e+00 -8.43518947e+00 -5.05716094e+00  2.36632562e-01
   3.36179129e+00  1.96196192e+00  3.35199768e+00  2.23331585e+00
  -3.95825270e+00 -1.26302534e+00  7.55927118e-01 -1.24127884e+00
  -3.96246838e+00  3.71026186e+00 -2.29973774e-01  5.56476523e+00
   4.03563427e+00 -5.47450653e+00 -2.41354694e+00 -1.61200555e+00
  -3.89104361e+00  8.13660785e-02 -1.75031599e+00 -3.76193614e+00
  -4.54146695e+00  1.92976804e+00 -6.73588481e+00  1.97125730e+00
   3.54580476e+00 -4.98828960e+00 -4.37204372e-01  1.45292170e+00
  -6.69392942e+00 -3.19738972e+00 -6.38278477e+00 -2.54887677e+00
  -3.19542741e+00 -4.82043975e-01 -1.22164141e+00 -1.06328353e-01
  -8.50627032e+00 -1.06064212e-17  1.43021114e+00 -2.95403283e+00
   2.63865863e-16  4.09010849e+00  2.22892419e+00  1.60506245e-16
  -7.18524710e-17 -1.19427334e-16]]",3
"[[7.11738936e+00 2.11317290e+00 4.93814746e+00 3.99625252e-01
  2.31564237e+01 9.78993074e+00 5.59985935e+00 7.02114179e-02
  1.40397204e+00 3.94163540e+00 3.47754224e-01 1.82721949e+01
  1.92217768e+01 9.03222355e+00 1.03246700e+01 2.38490499e+00
  4.57319166e+01 3.79468973e+01 1.37695184e+01 2.76514238e-02
  6.09791503e+00 2.07271336e+00 5.97010728e+00 2.66677089e+00
  8.29553150e+00 8.56809328e-01 3.08105757e-01 8.21597080e-01
  8.37571462e+00 7.33399109e+00 3.62461729e-02 1.65299946e+01
  8.68101386e+00 1.60380952e+01 3.11593181e+00 1.38934114e+00
  8.08431475e+00 5.36141796e-03 1.68266626e+00 7.53302310e+00
  1.09697673e+01 1.99150841e+00 2.42806191e+01 2.06740059e+00
  6.66872354e+00 1.32476119e+01 1.06412101e-01 1.11098078e+00
  2.38456413e+01 5.38050818e+00 2.17434533e+01 3.49615879e+00
  5.46004243e+00 1.27532223e-01 8.62888866e-01 6.40516946e-03
  3.87695542e+01 5.85450528e-32 1.06640459e+00 4.71180075e+00
  2.46113973e-31 9.05856556e+00 2.66359266e+00 2.92400046e-32
  5.04401967e-32 2.10932266e-32]]","[[-4.62263971e+00  2.52063378e+00 -3.84695180e+00 -1.09027722e+00
  -8.33447338e+00  5.41969606e+00 -4.10050528e+00  4.52437057e-01
  -2.05326970e+00 -3.43420394e+00 -1.02290613e+00 -7.40573348e+00
   7.58029534e+00 -5.20953806e+00 -5.56216587e+00 -2.67281422e+00
  -1.17065097e+01 -1.06631423e+01 -6.43162566e+00  2.81827943e-01
   4.28123563e+00  2.49533480e+00  4.22711618e+00  2.82780003e+00
  -4.97999243e+00 -1.60387404e+00  9.62242982e-01 -1.56900688e+00
  -5.00979689e+00  4.68703297e+00 -3.29216455e-01  7.03871913e+00
   5.09973418e+00 -6.93565976e+00 -3.05684671e+00 -2.04109018e+00
  -4.92260001e+00  1.24166692e-01 -2.25320153e+00 -4.74961853e+00
  -5.73078597e+00  2.44377062e+00 -8.53370316e+00  2.48803527e+00
   4.46636881e+00 -6.29875798e+00 -5.67231526e-01  1.82061032e+00
  -8.45006692e+00 -4.00648027e+00 -8.07249647e+00 -3.24064482e+00
  -4.04629367e+00 -6.20276933e-01 -1.61797944e+00 -1.39305699e-01
  -1.07852319e+01  5.31702375e-17  1.78042789e+00 -3.76367228e+00
   3.13638743e-17  5.22031862e+00  2.82722510e+00  1.44455620e-16
  -1.43846852e-16 -1.07484600e-16]]",4
"[[8.86376610e+00 2.64839880e+00 6.10328911e+00 4.80962750e-01
  2.87312620e+01 1.21555283e+01 6.97599357e+00 8.05625123e-02
  1.74961512e+00 4.84081302e+00 4.37560771e-01 2.27282651e+01
  2.35358802e+01 1.12883741e+01 1.27525551e+01 2.94127221e+00
  5.65051788e+01 4.68674248e+01 1.71927847e+01 3.08856971e-02
  7.63236273e+00 2.58895906e+00 7.34158202e+00 3.30334940e+00
  1.01587599e+01 1.06684171e+00 3.85404681e-01 1.01437975e+00
  1.03482192e+01 9.04726414e+00 5.59178295e-02 2.04360327e+01
  1.07146701e+01 1.98854031e+01 3.86195646e+00 1.72085455e+00
  9.99895105e+00 9.08112314e-03 2.14753314e+00 9.28246038e+00
  1.35066302e+01 2.46741365e+00 3.01090409e+01 2.54598621e+00
  8.18365622e+00 1.63284526e+01 1.37787068e-01 1.35058326e+00
  2.93774452e+01 6.54261485e+00 2.68784275e+01 4.36275751e+00
  6.76496100e+00 1.62611109e-01 1.16002977e+00 8.43959316e-03
  4.81436266e+01 8.82462906e-32 1.28172033e+00 5.90210355e+00
  2.54346995e-31 1.13822083e+01 3.30942615e+00 3.13047711e-32
  4.99357948e-32 2.12061739e-32]]","[[-5.50854139e+00  3.01446425e+00 -4.56431067e+00 -1.27336891e+00
  -9.91067384e+00  6.44727954e+00 -4.88717227e+00  5.12327592e-01
  -2.44767833e+00 -4.05959415e+00 -1.22603995e+00 -8.81894567e+00
   8.94507554e+00 -6.22040435e+00 -6.59690241e+00 -3.16725208e+00
  -1.38870647e+01 -1.26464177e+01 -7.67551411e+00  3.12897048e-01
   5.11621414e+00  2.97858562e+00  5.00072217e+00  3.35941932e+00
  -5.87705006e+00 -1.91103393e+00  1.14953232e+00 -1.86043491e+00
  -5.94278435e+00  5.55497209e+00 -4.37836741e-01  8.35260290e+00
   6.04594287e+00 -8.24401507e+00 -3.63274242e+00 -2.42469437e+00
  -5.84295441e+00  1.73177373e-01 -2.72192283e+00 -5.62549624e+00
  -6.78453267e+00  2.90353866e+00 -1.01443190e+01  2.94581481e+00
   5.27735664e+00 -7.46145485e+00 -6.90616921e-01  2.13926107e+00
  -1.00071968e+01 -4.70851613e+00 -9.57877416e+00 -3.86608564e+00
  -4.80764844e+00 -7.48917035e-01 -2.00914605e+00 -1.71184249e-01
  -1.28310915e+01 -1.26177497e-16  2.07775841e+00 -4.49969923e+00
  -7.51850926e-17  6.25206550e+00  3.36454491e+00  1.78560718e-16
  -1.29462167e-16 -7.87394855e-17]]",5
"[[1.05967329e+01 3.18598198e+00 7.24094258e+00 5.55222436e-01
  3.42196747e+01 1.44868305e+01 8.34204704e+00 8.86163268e-02
  2.09295732e+00 5.70576445e+00 5.28628434e-01 2.71379638e+01
  2.76632845e+01 1.35436016e+01 1.51187977e+01 3.48126118e+00
  6.70179324e+01 5.55638297e+01 2.06068824e+01 3.30378073e-02
  9.16983258e+00 3.10502329e+00 8.66575598e+00 3.92785541e+00
  1.19408292e+01 1.27505545e+00 4.62863745e-01 1.20191581e+00
  1.22735457e+01 1.07135009e+01 8.12179648e-02 2.42502494e+01
  1.26941093e+01 2.36659200e+01 4.59511175e+00 2.04592896e+00
  1.18714778e+01 1.41328047e-02 2.62997164e+00 1.09787384e+01
  1.59645382e+01 2.93444291e+00 3.58424367e+01 3.00923984e+00
  9.63925868e+00 1.93179961e+01 1.71163302e-01 1.57550179e+00
  3.47413941e+01 7.63652421e+00 3.18945510e+01 5.22575885e+00
  8.04666695e+00 1.98919277e-01 1.49304963e+00 1.06558653e-02
  5.73900241e+01 9.89404761e-32 1.47824768e+00 7.09635062e+00
  2.71119790e-31 1.37262375e+01 3.94643407e+00 3.66847573e-32
  4.94364368e-32 2.27073911e-32]]","[[-6.30735554e+00  3.46406188e+00 -5.20272496e+00 -1.42722468e+00
  -1.13228803e+01  7.36871169e+00 -5.59670936e+00  5.55219429e-01
  -2.80360873e+00 -4.60933320e+00 -1.41237490e+00 -1.00904162e+01
   1.01392908e+01 -7.13723077e+00 -7.51637908e+00 -3.60511397e+00
  -1.58266920e+01 -1.44091641e+01 -8.80164311e+00  3.31215479e-01
   5.87494444e+00  3.41690219e+00  5.68284697e+00  3.83436548e+00
  -6.66180886e+00 -2.18777897e+00  1.31973363e+00 -2.11900345e+00
  -6.77286846e+00  6.32488403e+00 -5.54861380e-01  9.52198148e+00
   6.88585056e+00 -9.41444963e+00 -4.14797535e+00 -2.76727446e+00
  -6.66312193e+00  2.27570811e-01 -3.15959944e+00 -6.40052003e+00
  -7.71635091e+00  3.31440045e+00 -1.15864062e+01  3.35031379e+00
   5.98955606e+00 -8.49092984e+00 -8.07979756e-01  2.41362213e+00
  -1.13850741e+01 -5.31438895e+00 -1.09197895e+01 -4.43164771e+00
  -5.48850124e+00 -8.68792576e-01 -2.39527502e+00 -2.02031103e-01
  -1.46669299e+01 -5.96491283e-18  2.32752443e+00 -5.16922388e+00
   7.13163841e-17  7.19461255e+00  3.84668811e+00  2.36156842e-16
  -1.16515950e-16 -1.12257311e-16]]",6
"[[1.23161693e+01 3.72571210e+00 8.35125334e+00 6.22611279e-01
  3.96215216e+01 1.67830746e+01 9.69782647e+00 9.46523970e-02
  2.43392807e+00 6.53670388e+00 6.21013578e-01 3.15005783e+01
  3.16088316e+01 1.57977943e+01 1.74233616e+01 4.00471005e+00
  7.72720564e+01 6.40375100e+01 2.40111196e+01 3.43012204e-02
  1.07097826e+01 3.62117530e+00 9.94324933e+00 4.54028212e+00
  1.36434175e+01 1.48138562e+00 5.40505145e-01 1.38412270e+00
  1.41523221e+01 1.23332059e+01 1.12822158e-01 2.79722192e+01
  1.46195941e+01 2.73789233e+01 5.31553918e+00 2.36456781e+00
  1.37021865e+01 2.06815878e-02 3.12987176e+00 1.26222217e+01
  1.83451313e+01 3.39258571e+00 4.14816691e+01 3.45719427e+00
  1.10363248e+01 2.22170628e+01 2.06579576e-01 1.78604974e+00
  3.99397346e+01 8.66467717e+00 3.67927209e+01 6.08487526e+00
  9.30556820e+00 2.36424296e-01 1.86343753e+00 1.30573708e-02
  6.65087393e+01 1.15827577e-31 1.65685577e+00 8.29404848e+00
  2.80547467e-31 1.60889988e+01 4.57422461e+00 1.00908233e-31
  5.82655912e-32 3.26709731e-32]]","[[-7.02769502e+00  3.87369136e+00 -5.76998186e+00 -1.55457825e+00
  -1.25872658e+01  8.19424648e+00 -6.23670500e+00  5.82897447e-01
  -3.12482937e+00 -5.09073585e+00 -1.58366170e+00 -1.12340460e+01
   1.11801561e+01 -7.96935010e+00 -8.33182504e+00 -3.99177155e+00
  -1.75492162e+01 -1.59731301e+01 -9.82155932e+00  3.38016246e-01
   6.56480990e+00  3.81494316e+00  6.28253098e+00  4.25821158e+00
  -7.34544151e+00 -2.43706168e+00  1.47458780e+00 -2.34781396e+00
  -7.51032958e+00  7.00648846e+00 -6.79420716e-01  1.05608816e+01
   7.62989450e+00 -1.04603805e+01 -4.60860830e+00 -3.07286836e+00
  -7.39302730e+00  2.86606830e-01 -3.56903582e+00 -7.08457930e+00
  -8.53852838e+00  3.68116326e+00 -1.28767770e+01  3.70669172e+00
   6.61267192e+00 -9.40031536e+00 -9.19867813e-01  2.64797304e+00
  -1.26015092e+01 -5.83391067e+00 -1.21119111e+01 -4.94314204e+00
  -6.09696176e+00 -9.80644826e-01 -2.77648772e+00 -2.31908570e-01
  -1.63135335e+01  1.28334629e-16  2.53453393e+00 -5.77865018e+00
   1.74361306e-16  8.05629760e+00  4.27887601e+00  4.66687422e-16
  -8.30598550e-18 -2.01980358e-16]]",7
"[[1.40219495e+01 4.26737640e+00 9.43437309e+00 6.83349030e-01
  4.49368121e+01 1.90434904e+01 1.10431922e+01 9.89427182e-02
  2.77246293e+00 7.33387979e+00 7.14772160e-01 3.58154403e+01
  3.53773195e+01 1.80508283e+01 1.96662660e+01 4.51148141e+00
  8.72695439e+01 7.22899709e+01 2.74048500e+01 3.48697014e-02
  1.22516288e+01 4.13766980e+00 1.11747130e+01 5.14062421e+00
  1.52682715e+01 1.68577430e+00 6.18348732e-01 1.56092704e+00
  1.59851210e+01 1.39068708e+01 1.51399449e-01 3.16016335e+01
  1.64914147e+01 3.10238343e+01 6.02336908e+00 2.67680910e+00
  1.54914038e+01 2.88797185e-02 3.64709141e+00 1.42133840e+01
  2.06500524e+01 3.84185056e+00 4.70276281e+01 3.88990975e+00
  1.23756400e+01 2.50266289e+01 2.44066421e-01 1.98255307e+00
  4.49748643e+01 9.62948282e+00 4.15738940e+01 6.93983518e+00
  1.05420695e+01 2.75088830e-01 2.27259427e+00 1.56472891e-02
  7.54998572e+01 2.34311898e-31 1.81841780e+00 9.49471093e+00
  3.07590821e-31 1.84688054e+01 5.19240443e+00 1.07886890e-31
  1.10406619e-31 3.81005012e-32]]","[[-7.67730928e+00  4.24719109e+00 -6.27309121e+00 -1.65789420e+00
  -1.37184149e+01  8.93310505e+00 -6.81401075e+00  5.96973752e-01
  -3.41473679e+00 -5.51039416e+00 -1.74147383e+00 -1.22623542e+01
   1.20831740e+01 -8.72515843e+00 -9.05335732e+00 -4.33206614e+00
  -1.90760941e+01 -1.73579030e+01 -1.07456672e+01  3.34405566e-01
   7.19244107e+00  4.17689102e+00  6.80792259e+00  4.63597297e+00
  -7.93803269e+00 -2.66154621e+00  1.61565742e+00 -2.54966234e+00
  -8.16440236e+00  7.60852797e+00 -8.10741067e-01  1.14819471e+01
   8.28747415e+00 -1.13939131e+01 -5.02009219e+00 -3.34513908e+00
  -8.04161478e+00  3.49624643e-01 -3.95275250e+00 -7.68661154e+00
  -9.26213312e+00  4.00816614e+00 -1.40305693e+01  4.01960679e+00
   7.15543066e+00 -1.02014721e+01 -1.02675949e+00  2.84617015e+00
  -1.36725655e+01 -6.27592314e+00 -1.31698829e+01 -5.40580676e+00
  -6.64032976e+00 -1.08513596e+00 -3.15289637e+00 -2.60876049e-01
  -1.77896237e+01 -2.30392744e-16  2.70313573e+00 -6.33374719e+00
  -1.58429601e-17  8.84462410e+00  4.66580254e+00  3.30644529e-16
   2.22140996e-16 -2.57652197e-16]]",8
"[[1.57139418e+01 4.81075945e+00 1.04904595e+01 7.37666185e-01
  5.01657246e+01 2.12672929e+01 1.23780657e+01 1.01751392e-01
  3.10850332e+00 8.09756968e+00 8.09959722e-01 4.00819256e+01
  3.89734998e+01 2.03025685e+01 2.18475778e+01 5.00145924e+00
  9.70125014e+01 8.03228139e+01 3.07874784e+01 3.49376466e-02
  1.37947395e+01 4.65474661e+00 1.23608266e+01 5.72887610e+00
  1.68172058e+01 1.88817152e+00 6.96411621e-01 1.73226440e+00
  1.77724491e+01 1.54349728e+01 1.97615258e-01 3.51383037e+01
  1.83098882e+01 3.46002280e+01 6.71871791e+00 2.98272720e+00
  1.72394938e+01 3.88676005e-02 4.18145606e+00 1.57528139e+01
  2.28809502e+01 4.28226580e+00 5.24812359e+01 4.30747475e+00
  1.36579733e+01 2.77478361e+01 2.83643492e-01 2.16534855e+00
  4.98493371e+01 1.05333195e+01 4.62390771e+01 7.79038501e+00
  1.17565731e+01 3.14870262e-01 2.72183821e+00 1.84288039e-02
  8.43635537e+01 2.97138361e-31 1.96381089e+00 1.06978609e+01
  3.26840003e-31 2.08639371e+01 5.80057478e+00 1.35654392e-31
  1.09302553e-31 3.80259355e-32]]","[[-8.26317055e+00  4.58801545e+00 -6.71836315e+00 -1.73939134e+00
  -1.47294877e+01  9.59357619e+00 -7.33481824e+00  5.98905113e-01
  -3.67639247e+00 -5.87424747e+00 -1.88722531e+00 -1.31866163e+01
   1.28623056e+01 -9.41220935e+00 -9.69008982e+00 -4.63035980e+00
  -2.04266518e+01 -1.85811231e+01 -1.15833444e+01  3.21376826e-01
   7.76378868e+00  4.50649938e+00  7.26636725e+00  4.97216198e+00
  -8.44868988e+00 -2.86363828e+00  1.74434395e+00 -2.72706936e+00
  -8.74337579e+00  8.13886482e+00 -9.48138477e-01  1.22965785e+01
   8.86705471e+00 -1.22259761e+01 -5.38732546e+00 -3.58741473e+00
  -8.61694742e+00  4.16036136e-01 -4.31301386e+00 -8.21470163e+00
  -9.89713673e+00  4.29932767e+00 -1.50614154e+01  4.29326738e+00
   7.62567416e+00 -1.09051212e+01 -1.12906582e+00  3.01168757e+00
  -1.46127364e+01 -6.64839657e+00 -1.41069847e+01 -5.82436538e+00
  -7.12517634e+00 -1.18285602e+00 -3.52460738e+00 -2.88991651e-01
  -1.91120634e+01 -4.62636805e-16  2.83726903e+00 -6.83971308e+00
  -1.63674495e-16  9.56634343e+00  5.01168422e+00  1.27737881e-16
   1.99926897e-16 -2.14381569e-16]]",9
"[[1.73920088e+01 5.35564295e+00 1.15196759e+01 7.85802490e-01
  5.53086279e+01 2.34536743e+01 1.37024384e+01 1.03334276e-01
  3.44199615e+00 8.82807565e+00 9.06631426e-01 4.42994544e+01
  4.24020770e+01 2.25528703e+01 2.39674048e+01 5.47454632e+00
  1.06503148e+02 8.81377257e+01 3.41584655e+01 3.47002880e-02
  1.53384281e+01 5.17262973e+00 1.35022968e+01 6.30503003e+00
  1.82921030e+01 2.08853647e+00 7.74707745e-01 1.89807927e+00
  1.95147354e+01 1.69179722e+01 2.52135144e-01 3.85821656e+01
  2.00753567e+01 3.81078451e+01 7.40168503e+00 3.28243542e+00
  1.89468602e+01 5.07749719e-02 4.73275820e+00 1.72412220e+01
  2.50394818e+01 4.71388074e+00 5.78434513e+01 4.71000687e+00
  1.48840693e+01 3.03820019e+01 3.25316669e-01 2.33478201e+00
  5.45658715e+01 1.13785351e+01 5.07893180e+01 8.63629143e+00
  1.29494795e+01 3.55720255e-01 3.21241223e+00 2.14053333e-02
  9.31000941e+01 4.07872889e-31 2.09391559e+00 1.19030319e+01
  3.91200370e-31 2.32726397e+01 6.39832724e+00 1.34346302e-31
  1.08209527e-31 3.89615747e-32]]","[[-8.79155138e+00  4.89927306e+00 -7.11147799e+00 -1.80106411e+00
  -1.56323673e+01  1.01831067e+01 -7.80472888e+00  5.90008696e-01
  -3.91255605e+00 -6.18764549e+00 -2.02218673e+00 -1.40169889e+01
   1.35301252e+01 -1.00372986e+01 -1.02502318e+01 -4.89058150e+00
  -2.16182982e+01 -1.96586776e+01 -1.23430459e+01  2.99822992e-01
   8.28418891e+00  4.80713540e+00  7.66448759e+00  5.27083691e+00
  -8.88564352e+00 -3.04551228e+00  1.86190311e+00 -2.88230812e+00
  -9.25468275e+00  8.60456778e+00 -1.09101358e+00  1.30150595e+01
   9.37626016e+00 -1.29664423e+01 -5.71470740e+00 -3.80272508e+00
  -9.12629656e+00  4.85320066e-01 -4.65185317e+00 -8.67617192e+00
  -1.04525254e+01  4.55818921e+00 -1.59815937e+01  4.53147856e+00
   8.03044377e+00 -1.15209631e+01 -1.22713225e+00  3.14765374e+00
  -1.54351063e+01 -6.95851785e+00 -1.49351769e+01 -6.20307933e+00
  -7.55741725e+00 -1.27432907e+00 -3.89172457e+00 -3.16313634e-01
  -2.02960430e+01 -7.53576198e-16  2.94050828e+00 -7.30123278e+00
  -4.07362361e-16  1.02275292e+01  5.32030479e+00  1.21924963e-16
   1.79934207e-16 -2.29218729e-16]]",10
