v,m,t
"[[1.07320178e-06 2.95723181e-03 2.60168158e-02 2.62378730e-02
  5.96541505e-06 2.00157719e-02 2.62315743e-02 5.84869863e-01
  1.76981816e-02 2.09102627e-04 9.47196322e-02 6.22309110e-02
  8.02251516e-02 2.50788623e-01 9.50551066e-02 2.71971605e-02
  3.66156574e-02 6.27030462e-02 1.02684740e-01 2.15045732e-03
  6.96495641e-05 1.61783471e-01 1.31771410e-03 1.66048544e-02
  5.43563668e-03 3.63813847e-02 1.24919452e-02 7.07707841e-02
  1.94181779e-02 6.52926268e-03 3.49948295e-04 1.61877810e-01
  8.05281580e-02 1.96446738e-01 4.72093317e-02 1.37186839e-02
  1.01435357e-01 1.78817295e-01 2.61310149e-01 2.31881281e-02
  7.75247492e-03 8.68311061e-03 3.80582780e-04 8.98264552e-03
  8.05521318e-02 2.32457116e-02 8.55612534e-02 7.68343473e-02
  5.14002964e-02 1.37837985e-01 6.83603473e-03 9.62637559e-02
  6.03085343e-02 9.99744821e-05 6.73172040e-02 2.35290935e-02
  8.14598986e-03 6.87513560e-02 4.13198548e-02 3.46692906e-02
  7.44811649e-02 7.28646595e-02 2.61678417e-03 2.70817460e-01
  8.55410919e-02 1.50222594e-04 1.97485490e-02 1.11455693e-01
  3.23635034e-02 8.46951721e-02 1.35179405e-02 1.94334474e-02
  1.11533006e-01 4.98577480e-04 5.11403914e-04 1.35022429e-02
  1.75186393e-01 1.11212662e-01 9.07478262e-02 1.09861701e-01
  1.26507756e-01 3.57952415e-02 2.78352538e-03 2.23335929e-04
  8.67983627e-02 1.14424557e-02 8.93683385e-03 7.61664068e-03
  4.90282474e-05 1.88171960e-01 3.24972195e-01 9.55394254e-02
  9.85732469e-03 2.01016196e-03 5.13699850e-01 2.35705563e-02
  3.35980700e-01 3.80773179e-03 2.59984452e-02 7.04828222e-02
  1.61533847e-02 3.64224342e-01 5.15378618e-02 2.88550886e-02
  2.64027815e-02 3.06508107e-06 3.23426674e-02 7.85198684e-04
  3.35192335e-02 2.84481213e-02 1.04291380e-01 5.69969105e-05
  9.07245190e-02 1.61008680e-05 8.01355247e-02 3.94574348e-03
  1.75003396e-02 2.92876377e-02 7.22176653e-02 1.50746689e-01
  6.65263214e-05 4.54261539e-03 2.46291565e-02 3.67642962e-02
  7.29094366e-02 1.90428076e-03 2.37635885e-02 9.53006398e-03
  1.39464415e-01 1.03334888e-01 4.89395168e-02 3.48604195e-03
  1.66824460e-01 5.53355660e-02 8.32150527e-02 5.81945562e-04
  4.93929849e-03 2.10696489e-02 1.56121133e-02 2.20290044e-01
  3.71268673e-03 1.41272623e-02 4.77918283e-03 1.39240799e-01
  1.56759014e-02 1.38024034e-32 8.46978219e-33 1.42721244e-32
  2.15587754e-02 4.08563047e-04 9.50299256e-33 3.20106792e-32
  7.82258657e-32 1.08664364e-01 8.49216972e-03 0.00000000e+00
  0.00000000e+00 1.02976584e-33 1.86507657e-33 1.57754664e-35]]","[[-1.03595452e-03 -5.43804360e-02  1.61297290e-01 -1.61981089e-01
  -2.44241992e-03  1.41477107e-01 -1.61961645e-01  7.64767849e-01
  -1.33034513e-01 -1.44603813e-02 -3.07765547e-01 -2.49461242e-01
   2.83240448e-01 -5.00788002e-01  3.08310082e-01  1.64915616e-01
  -1.91352181e-01 -2.50405763e-01 -3.20444597e-01  4.63730237e-02
  -8.34563144e-03  4.02223160e-01 -3.63003320e-02  1.28859824e-01
  -7.37267704e-02  1.90739049e-01 -1.11767371e-01  2.66027788e-01
   1.39349122e-01  8.08038532e-02 -1.87069050e-02 -4.02340415e-01
  -2.83774837e-01  4.43223125e-01  2.17277085e-01 -1.17126786e-01
  -3.18489178e-01 -4.22867940e-01 -5.11185043e-01  1.52276486e-01
   8.80481398e-02 -9.31832099e-02  1.95085309e-02 -9.47768195e-02
  -2.83817074e-01 -1.52465444e-01 -2.92508553e-01  2.77190092e-01
   2.26716335e-01  3.71265384e-01 -8.26803165e-02 -3.10264010e-01
   2.45577960e-01  9.99872402e-03  2.59455592e-01 -1.53391960e-01
  -9.02551376e-02  2.62204798e-01 -2.03272858e-01  1.86196914e-01
   2.72912376e-01 -2.69934547e-01  5.11545127e-02  5.20401249e-01
  -2.92474088e-01  1.22565327e-02 -1.40529531e-01 -3.33849806e-01
   1.79898592e-01 -2.91024350e-01  1.16266678e-01 -1.39403900e-01
  -3.33965575e-01  2.23288486e-02  2.26142414e-02  1.16199152e-01
   4.18552736e-01 -3.33485625e-01  3.01243799e-01 -3.31453920e-01
   3.55679289e-01 -1.89196304e-01 -5.27591261e-02  1.49444280e-02
   2.94615619e-01  1.06969415e-01 -9.45348288e-02 -8.72733675e-02
  -7.00201738e-03 -4.33787920e-01  5.70063325e-01  3.09094525e-01
   9.92840606e-02  4.48348298e-02 -7.16728575e-01  1.53527054e-01
   5.79638422e-01 -6.17068213e-02 -1.61240334e-01  2.65486011e-01
   1.27095966e-01 -6.03510018e-01 -2.27019519e-01 -1.69867856e-01
  -1.62489327e-01  1.75073729e-03 -1.79840672e-01  2.80213969e-02
   1.83082587e-01  1.68665709e-01  3.22941759e-01 -7.54962983e-03
  -3.01205111e-01 -4.01258869e-03  2.83082187e-01 -6.28151533e-02
   1.32288849e-01 -1.71136313e-01 -2.68733447e-01 -3.88261109e-01
  -8.15636693e-03  6.73989272e-02  1.56936791e-01 -1.91740179e-01
  -2.70017475e-01  4.36380655e-02  1.54154431e-01  9.76220466e-02
   3.73449348e-01  3.21457443e-01 -2.21222776e-01 -5.90427129e-02
   4.08441502e-01 -2.35235129e-01 -2.88470194e-01 -2.41235479e-02
  -7.02801429e-02  1.45153880e-01 -1.24948442e-01 -4.69350662e-01
  -6.09318203e-02  1.18858160e-01  6.91316341e-02 -3.73149834e-01
  -1.25203440e-01  1.17483630e-16 -9.20314196e-17 -1.19465997e-16
   1.46829069e-01 -2.02129426e-02  9.74832937e-17  1.78915285e-16
   2.79688873e-16 -3.29642782e-01 -9.21529692e-02  0.00000000e+00
   0.00000000e+00  3.20899647e-17 -4.31865323e-17  3.97183413e-18]]",1
"[[4.94462691e-06 5.71640010e-03 5.32339294e-02 5.14260116e-02
  1.77777730e-05 3.92823022e-02 5.15218771e-02 1.16058949e+00
  3.47665313e-02 6.45589319e-04 1.88520175e-01 1.23726020e-01
  1.55944167e-01 4.96248219e-01 1.91667341e-01 5.35014201e-02
  7.30075127e-02 1.25327959e-01 2.05285362e-01 4.54666783e-03
  1.37127282e-04 3.19098995e-01 2.63074249e-03 3.21543286e-02
  1.12260739e-02 7.17616281e-02 2.45136794e-02 1.39539797e-01
  3.89241460e-02 1.38589117e-02 7.02692242e-04 3.18535049e-01
  1.60597016e-01 3.91918853e-01 9.25198553e-02 2.79691918e-02
  2.02674578e-01 3.55803914e-01 5.21133761e-01 4.65338641e-02
  1.52337760e-02 1.69244711e-02 7.07740031e-04 1.72209820e-02
  1.59868968e-01 4.72417652e-02 1.71291849e-01 1.51651584e-01
  1.02250856e-01 2.75712149e-01 1.33753109e-02 1.91699609e-01
  1.19029696e-01 1.36877701e-04 1.34076081e-01 4.78189840e-02
  1.66952689e-02 1.38423452e-01 8.22595113e-02 6.84743290e-02
  1.47510606e-01 1.43921469e-01 4.89627391e-03 5.37087735e-01
  1.69229976e-01 2.38219747e-04 4.03408377e-02 2.23465828e-01
  6.46926939e-02 1.68784171e-01 2.71214663e-02 3.78054552e-02
  2.22640326e-01 8.98821998e-04 9.14082462e-04 2.70682808e-02
  3.48586513e-01 2.22488979e-01 1.79538687e-01 2.18917498e-01
  2.52344751e-01 7.14580315e-02 5.61158114e-03 5.19032802e-04
  1.74180884e-01 2.28741612e-02 1.82276829e-02 1.50312587e-02
  5.19986585e-05 3.73714124e-01 6.45562639e-01 1.88173656e-01
  1.97836700e-02 4.21313467e-03 1.01672755e+00 4.69422538e-02
  6.70763190e-01 7.58330204e-03 5.28865051e-02 1.39492156e-01
  3.12013494e-02 7.25416907e-01 1.03075841e-01 5.64885589e-02
  5.22445266e-02 9.03239638e-06 6.51590556e-02 1.34248491e-03
  6.85290022e-02 5.70654133e-02 2.04939750e-01 1.54355778e-04
  1.78470098e-01 3.98332317e-05 1.60846040e-01 7.76846549e-03
  3.48791065e-02 5.80649675e-02 1.43644568e-01 2.96378672e-01
  1.30248843e-04 8.52833106e-03 4.84642446e-02 7.00139288e-02
  1.42747946e-01 3.76557053e-03 4.72194607e-02 1.96832592e-02
  2.78234291e-01 2.06475563e-01 9.96609654e-02 7.82714714e-03
  3.37196304e-01 1.10005527e-01 1.66618996e-01 1.15361570e-03
  9.57589195e-03 4.21889722e-02 3.20905349e-02 4.37547384e-01
  7.66206125e-03 2.86075063e-02 9.46673387e-03 2.79564622e-01
  3.02053124e-02 3.78321378e-32 1.63199596e-32 2.10605543e-32
  4.33197091e-02 8.30632986e-04 2.27084986e-32 9.46817372e-32
  9.57949409e-32 2.16118612e-01 1.79798736e-02 0.00000000e+00
  0.00000000e+00 5.29914703e-33 1.84642580e-33 2.00446557e-33]]","[[-2.90267812e-03 -1.01750920e-01  3.10930288e-01 -3.05315162e-01
   1.24740070e-03  2.66852470e-01 -3.05617344e-01  1.45089734e+00
  -2.51052543e-01 -3.39565904e-02 -5.84800199e-01 -4.73748779e-01
   5.31541179e-01 -9.48672536e-01  5.89829495e-01  3.11446235e-01
  -3.63940754e-01 -4.76864577e-01 -6.10312345e-01  9.09059876e-02
  -1.57678360e-02  7.60665314e-01 -6.90874036e-02  2.41335410e-01
  -1.42805343e-01  3.60726132e-01 -2.10802492e-01  5.03009380e-01
   2.65771432e-01  1.58717315e-01 -3.57106265e-02 -7.59945559e-01
  -5.39781143e-01  8.43239177e-01  4.09518105e-01 -2.25362824e-01
  -6.06411389e-01 -8.03398829e-01 -9.72352313e-01  2.90598885e-01
   1.66184834e-01 -1.75123815e-01  3.57500685e-02 -1.76557907e-01
  -5.38494296e-01 -2.92874001e-01 -5.57513042e-01  5.24399402e-01
   4.30682215e-01  7.07304417e-01 -1.55699655e-01 -5.89718673e-01
   4.64585858e-01  1.51553899e-02  4.93186850e-01 -2.94657941e-01
  -1.74131394e-01  5.01238177e-01 -3.86299586e-01  3.52379092e-01
   5.17235300e-01 -5.10869173e-01  9.40563248e-02  9.86992447e-01
  -5.53991696e-01  2.04912906e-02 -2.70663173e-01 -6.36804968e-01
   3.42609661e-01 -5.53359645e-01  2.21852233e-01 -2.61721876e-01
  -6.35565511e-01  4.02262964e-02  4.05466922e-02  2.21630765e-01
   7.95209092e-01 -6.35380919e-01  5.70616229e-01 -6.30203714e-01
   6.76625136e-01 -3.60067986e-01 -1.00923751e-01  3.07106409e-02
   5.62223922e-01  2.03725393e-01 -1.81932868e-01 -1.65095349e-01
  -8.16210960e-03 -8.23333930e-01  1.08212655e+00  5.84109287e-01
   1.89480170e-01  8.75008360e-02 -1.35791244e+00  2.91821356e-01
   1.10317462e+00 -1.17290876e-01 -3.09882936e-01  5.02971806e-01
   2.37713166e-01 -1.14717459e+00 -4.32469616e-01 -3.19979907e-01
  -3.07813205e-01  4.02473811e-03 -3.43900047e-01  4.89918930e-02
   3.52776884e-01  3.21804353e-01  6.09538292e-01 -1.66905668e-02
  -5.68830842e-01 -8.49941456e-03  5.40276807e-01 -1.18680073e-01
   2.51550607e-01 -3.24522553e-01 -5.10465908e-01 -7.33022602e-01
  -1.53649302e-02  1.24150308e-01  2.96424876e-01 -3.55916306e-01
  -5.08661362e-01  8.26370607e-02  2.92665945e-01  1.89094697e-01
   7.10489936e-01  6.12071709e-01 -4.25398629e-01 -1.19289523e-01
   7.82374507e-01 -4.46708034e-01 -5.49857724e-01 -4.57422062e-02
  -1.31706394e-01  2.76686497e-01 -2.41428568e-01 -8.90881433e-01
  -1.17977385e-01  2.27891808e-01  1.31032298e-01 -7.12287015e-01
  -2.33869605e-01  2.61195096e-16  6.24963896e-18 -2.42658621e-17
   2.80390964e-01 -3.88351841e-02  2.03062914e-16  4.12004164e-16
   1.16252890e-16 -6.26133951e-01 -1.80777468e-01  0.00000000e+00
   0.00000000e+00  9.43002227e-17 -3.88678790e-17 -4.10218498e-17]]",2
"[[1.47865843e-05 8.28766228e-03 8.16855956e-02 7.55991973e-02
  1.07076755e-04 5.78385324e-02 7.58659263e-02 1.72705553e+00
  5.13043423e-02 1.38575943e-03 2.81441192e-01 1.84644758e-01
  2.27327148e-01 7.36390046e-01 2.89526745e-01 7.89560267e-02
  1.09197671e-01 1.87758153e-01 3.07826729e-01 7.20722234e-03
  1.99639531e-04 4.71880090e-01 3.92203069e-03 4.67810623e-02
  1.74042527e-02 1.06172959e-01 3.60551411e-02 2.06373537e-01
  5.85211161e-02 2.20500063e-02 1.06464312e-03 4.69965470e-01
  2.40225175e-01 5.86362415e-01 1.36059509e-01 4.27634461e-02
  3.03787926e-01 5.30888146e-01 7.79160276e-01 7.00765403e-02
  2.24338830e-02 2.48133028e-02 1.00160073e-03 2.47607898e-02
  2.38025910e-01 7.19997589e-02 2.57205672e-01 2.24747428e-01
  1.52491701e-01 4.13552595e-01 1.95948414e-02 2.86325537e-01
  1.76276668e-01 1.40669571e-04 2.00088251e-01 7.28783549e-02
  2.56603800e-02 2.09127103e-01 1.22757916e-01 1.01471836e-01
  2.19075099e-01 2.13160094e-01 6.87692970e-03 7.98962758e-01
  2.51159185e-01 2.82512906e-04 6.17443610e-02 3.35905646e-01
  9.68595227e-02 2.52293357e-01 4.07491975e-02 5.51960676e-02
  3.33210116e-01 1.21091424e-03 1.21563275e-03 4.07025924e-02
  5.19981838e-01 3.33919338e-01 2.66243299e-01 3.27143048e-01
  3.77398417e-01 1.07104575e-01 8.46693956e-03 8.97041264e-04
  2.62294826e-01 3.43008804e-02 2.78632146e-02 2.21682845e-02
  5.97410262e-05 5.56850107e-01 9.61472522e-01 2.78343010e-01
  2.98502304e-02 6.59181505e-03 1.50929668e+00 7.00893857e-02
  1.00410771e+00 1.13409142e-02 8.06615035e-02 2.06985258e-01
  4.51852080e-02 1.08355164e+00 1.54477300e-01 8.28206354e-02
  7.74833601e-02 1.74399985e-05 9.83455225e-02 1.70880740e-03
  1.05035251e-01 8.58063253e-02 3.02070412e-01 3.01570863e-04
  2.63449366e-01 7.18794366e-05 2.42113834e-01 1.14893025e-02
  5.21580639e-02 8.64076987e-02 2.14363781e-01 4.36997188e-01
  1.86350505e-04 1.20155156e-02 7.15538392e-02 9.99613721e-02
  2.09694448e-01 5.57846883e-03 7.04219785e-02 3.05626050e-02
  4.16266554e-01 3.09340825e-01 1.52265721e-01 1.31459001e-02
  5.10982981e-01 1.64004577e-01 2.50285526e-01 1.71562709e-03
  1.38916485e-02 6.33080545e-02 4.95285915e-02 6.51624869e-01
  1.18305064e-02 4.34650336e-02 1.40886604e-02 4.20864414e-01
  4.37257602e-02 3.92207276e-32 5.49023416e-32 4.54239789e-32
  6.52932923e-02 1.26589260e-03 8.26212700e-32 1.10037483e-31
  1.02099908e-31 3.22413150e-01 2.84798899e-02 0.00000000e+00
  0.00000000e+00 8.39960613e-33 6.58528029e-33 1.98442092e-33]]","[[-5.75747051e-03 -1.42844007e-01  4.50084155e-01 -4.31906037e-01
   1.05818762e-02  3.77822783e-01 -4.32723831e-01  2.06611803e+00
  -3.55891416e-01 -5.78853892e-02 -8.34226365e-01 -6.75684948e-01
   7.48465610e-01 -1.34888539e+00  8.46720060e-01  4.41514579e-01
  -5.19693063e-01 -6.81533966e-01 -8.72691409e-01  1.33834820e-01
  -2.21837692e-02  1.07953180e+00 -9.84773634e-02  3.39465016e-01
  -2.07837100e-01  5.12080697e-01 -2.98288344e-01  7.13915522e-01
   3.80566888e-01  2.34112684e-01 -5.13483589e-02 -1.07716312e+00
  -7.70819044e-01  1.20429459e+00  5.79433202e-01 -3.25602542e-01
  -8.66924565e-01 -1.14571989e+00 -1.38818419e+00  4.16484196e-01
   2.35312749e-01 -2.47378223e-01  4.95226293e-02 -2.46720210e-01
  -7.67055263e-01 -4.22427438e-01 -7.97779882e-01  7.45112093e-01
   6.14028112e-01  1.01153740e+00 -2.19837177e-01 -8.41460378e-01
   6.59865289e-01  1.59115566e-02  7.03392597e-01 -4.24996905e-01
  -2.52280087e-01  7.19606232e-01 -5.50945303e-01  5.00668431e-01
   7.35770162e-01 -7.25635297e-01  1.29701980e-01  1.40525152e+00
  -7.87766364e-01  2.52740981e-02 -3.91268558e-01 -9.11760673e-01
   4.89494371e-01 -7.89908979e-01  3.17560801e-01 -3.68848852e-01
  -9.07860405e-01  5.41223850e-02  5.41184552e-02  3.17387129e-01
   1.13387617e+00 -9.08970769e-01  8.11044100e-01 -8.99470454e-01
   9.66142007e-01 -5.14747116e-01 -1.44789454e-01  4.72150407e-02
   8.05761018e-01  2.91313314e-01 -2.62824437e-01 -2.33951722e-01
  -4.47146753e-03 -1.17328878e+00  1.54168631e+00  8.29097585e-01
   2.71845514e-01  1.27952498e-01 -1.93116027e+00  4.16316006e-01
   1.57599707e+00 -1.67476611e-01 -4.47132164e-01  7.15139906e-01
   3.33507195e-01 -1.63693120e+00 -6.18203477e-01 -4.51984850e-01
  -4.37535089e-01  6.53738455e-03 -4.93461279e-01  6.35798107e-02
   5.10350275e-01  4.60830127e-01  8.63513121e-01 -2.72181754e-02
  -8.06504999e-01 -1.33454837e-02  7.74131487e-01 -1.68444214e-01
   3.59165077e-01 -4.62139051e-01 -7.28037371e-01 -1.03864290e+00
  -2.14049899e-02  1.71505402e-01  4.20321429e-01 -4.95389185e-01
  -7.19279416e-01  1.17391421e-01  4.17265241e-01  2.75428652e-01
   1.01469367e+00  8.74793570e-01 -6.14378453e-01 -1.80825015e-01
   1.12503923e+00 -6.36769217e-01 -7.86989598e-01 -6.51168383e-02
  -1.84954995e-01  3.95786277e-01 -3.50548466e-01 -1.26918280e+00
  -1.71333816e-01  3.28161972e-01  1.86606531e-01 -1.02065736e+00
  -3.28051777e-01  2.77110230e-16  2.02463649e-16 -1.78600337e-16
   4.02040813e-01 -5.60126709e-02  4.27990911e-16  2.43122257e-16
   1.94048537e-17 -8.92846723e-01 -2.66042912e-01  0.00000000e+00
   0.00000000e+00  1.41025793e-16  3.39922279e-17 -3.69196649e-17]]",3
"[[3.40904619e-05 1.06834763e-02 1.11363991e-01 9.87845727e-02
  3.40331085e-04 7.56950091e-02 9.92877036e-02 2.28417906e+00
  6.73560714e-02 2.50449098e-03 3.73406619e-01 2.44977156e-01
  2.94514016e-01 9.71255152e-01 3.88499784e-01 1.03566674e-01
  1.45220482e-01 2.49941040e-01 4.10294748e-01 1.01421898e-02
  2.57401254e-04 6.20230091e-01 5.17578161e-03 6.05640553e-02
  2.40059782e-02 1.39611521e-01 4.71267033e-02 2.71253907e-01
  7.81937121e-02 3.11658609e-02 1.43987220e-03 6.16187739e-01
  3.19449646e-01 7.79770123e-01 1.77948391e-01 5.81308891e-02
  4.04858217e-01 7.04093328e-01 1.03524675e+00 9.38649160e-02
  2.93769129e-02 3.23981842e-02 1.27016278e-03 3.16308520e-02
  3.14992803e-01 9.75295453e-02 3.43242606e-01 2.96254982e-01
  2.02137686e-01 5.51290783e-01 2.54955313e-02 3.80117111e-01
  2.32121330e-01 1.42211063e-04 2.65312311e-01 9.87151711e-02
  3.50408459e-02 2.80838460e-01 1.62766693e-01 1.33684965e-01
  2.89141689e-01 2.80575940e-01 8.59215958e-03 1.05649571e+00
  3.31330855e-01 2.97771745e-04 8.38946939e-02 4.48718796e-01
  1.28786644e-01 3.35187249e-01 5.43673488e-02 7.16041094e-02
  4.43149781e-01 1.44609138e-03 1.42757113e-03 5.44005437e-02
  6.89340125e-01 4.45548056e-01 3.50814044e-01 4.34418784e-01
  5.01672236e-01 1.42719817e-01 1.13455467e-02 1.36858278e-03
  3.51166254e-01 4.57195410e-02 3.78371665e-02 2.89892143e-02
  1.14627884e-04 7.37758789e-01 1.27247601e+00 3.66236743e-01
  4.00771492e-02 9.14748904e-03 1.99150625e+00 9.29972050e-02
  1.33615843e+00 1.50803260e-02 1.09345135e-01 2.72973530e-01
  5.81320111e-02 1.43857768e+00 2.05723058e-01 1.07798474e-01
  1.02091839e-01 2.79799239e-05 1.31844627e-01 1.92398295e-03
  1.43046644e-01 1.14656089e-01 3.95867423e-01 5.05910674e-04
  3.45772505e-01 1.11075198e-04 3.23917100e-01 1.51214767e-02
  6.93728347e-02 1.14312050e-01 2.84437139e-01 5.72699067e-01
  2.32707863e-04 1.50484779e-02 9.39410013e-02 1.26775011e-01
  2.73907322e-01 7.34069036e-03 9.34273185e-02 4.22599834e-02
  5.53603656e-01 4.11875822e-01 2.06837715e-01 1.95279413e-02
  6.88232476e-01 2.17312885e-01 3.34149083e-01 2.26798462e-03
  1.78886387e-02 8.44307850e-02 6.79511545e-02 8.62464272e-01
  1.62067285e-02 5.86804821e-02 1.86526713e-02 5.62935607e-01
  5.63143373e-02 6.98055926e-32 5.44156651e-32 4.51642279e-32
  8.74889079e-02 1.70824767e-03 8.18194924e-32 1.34348616e-31
  1.07179386e-31 4.27397613e-01 4.00558501e-02 0.00000000e+00
  0.00000000e+00 9.16047111e-33 6.52201014e-33 1.96457671e-33]]","[[-9.59213653e-03 -1.78346056e-01  5.79704637e-01 -5.43445416e-01
   2.48313696e-02  4.75815547e-01 -5.44952048e-01  2.61739413e+00
  -4.49006480e-01 -8.57508122e-02 -1.05866707e+00 -8.57473316e-01
   9.37171965e-01 -1.70616451e+00  1.08121620e+00  5.56737545e-01
  -6.60375743e-01 -8.66482265e-01 -1.11030115e+00  1.75287819e-01
  -2.76957298e-02  1.36281870e+00 -1.24587536e-01  4.24895244e-01
  -2.69368444e-01  6.46615169e-01 -3.75380573e-01  9.01259559e-01
   4.84840122e-01  3.07326230e-01 -6.58572371e-02 -1.35793352e+00
  -9.79441048e-01  1.53026331e+00  7.29454967e-01 -4.18720756e-01
  -1.10289009e+00 -1.45365714e+00 -1.76305641e+00  5.31325844e-01
   2.96441787e-01 -3.11144719e-01  6.12610240e-02 -3.06414474e-01
  -9.72036002e-01 -5.42202545e-01 -1.01567452e+00  9.42179653e-01
   7.78835165e-01  1.28704493e+00 -2.75934432e-01 -1.06820794e+00
   8.33894236e-01  1.26033721e-02  8.92331068e-01 -5.45486784e-01
  -3.25220656e-01  9.19311999e-01 -6.98918139e-01  6.32886658e-01
   9.31000403e-01 -9.16790265e-01  1.58969197e-01  1.78001519e+00
  -9.96536702e-01  2.69992131e-02 -5.03031650e-01 -1.16142505e+00
   6.21916697e-01 -1.00317965e+00  4.04234629e-01 -4.62194541e-01
  -1.15363308e+00  6.44354853e-02  6.36764029e-02  4.04412793e-01
   1.43829006e+00 -1.15714288e+00  1.02529232e+00 -1.14200975e+00
   1.22736548e+00 -6.54809055e-01 -1.84746494e-01  6.44141189e-02
   1.02766529e+00  3.70633213e-01 -3.37797037e-01 -2.94476826e-01
   3.42445552e-03 -1.48778994e+00  1.95374927e+00  1.04731432e+00
   3.47254438e-01  1.66358734e-01 -2.44324105e+00  5.28335677e-01
   2.00328350e+00 -2.12800045e-01 -5.74146191e-01  9.04505437e-01
   4.15909036e-01 -2.07810299e+00 -7.86145030e-01 -5.67428966e-01
  -5.53102994e-01  9.15692050e-03 -6.29809954e-01  7.24620272e-02
   6.56955691e-01  5.87106702e-01  1.08831726e+00 -3.88962023e-02
  -1.01732943e+00 -1.83287321e-02  9.86932751e-01 -2.12813086e-01
   4.56426464e-01 -5.85537728e-01 -9.23965836e-01 -1.30904035e+00
  -2.62086152e-02  2.10507489e-01  5.30285011e-01 -6.12623324e-01
  -9.04858404e-01  1.48290363e-01  5.29517806e-01  3.57444011e-01
   1.28938885e+00  1.11231945e+00 -7.89783701e-01 -2.43448772e-01
   1.43957081e+00 -8.07502948e-01 -1.00217227e+00 -8.24696427e-02
  -2.30770511e-01  5.03706162e-01 -4.53035791e-01 -1.60847869e+00
  -2.21241669e-01  4.20446130e-01  2.36538133e-01 -1.30105710e+00
  -4.09377378e-01  7.33961603e-17  1.90113288e-16 -1.46794381e-16
   5.12994095e-01 -7.17424610e-02  3.80248628e-16  5.94001579e-17
   9.55699159e-17 -1.13251280e+00 -3.48345733e-01  0.00000000e+00
   0.00000000e+00  9.78567203e-17  2.89859399e-17 -3.32276984e-17]]",4
