v,m,t
"[[1.15724716e-01 1.07826022e-01 7.39614708e-01 9.58944411e-34
  6.01044726e-02 3.43231077e-01 6.68699075e-34 8.06286575e-02
  7.04412767e-02 6.99321246e-33 0.00000000e+00 0.00000000e+00]]","[[ 3.40183357e-01  3.28368729e-01  8.60008551e-01 -3.09668276e-17
  -2.45162135e-01  5.85859264e-01 -2.58592164e-17  2.83951858e-01
  -2.65407756e-01  8.36254295e-17  0.00000000e+00  0.00000000e+00]]",1
"[[2.30586708e-01 2.14902840e-01 1.47409100e+00 1.41841671e-32
  1.18925820e-01 6.82650027e-01 2.66925343e-32 1.59677626e-01
  1.40571756e-01 8.58744417e-33 0.00000000e+00 0.00000000e+00]]","[[ 6.46780991e-01  6.24401250e-01  1.63532787e+00  8.71725086e-17
  -4.64413008e-01  1.11280836e+00 -1.84613068e-16  5.38143394e-01
  -5.05015232e-01  1.16057051e-16  0.00000000e+00  0.00000000e+00]]",2
"[[3.44592549e-01 3.21235474e-01 2.20347289e+00 1.47728264e-32
  1.76479020e-01 1.01828713e+00 5.85773316e-32 2.37166483e-01
  2.10392203e-01 8.50156973e-33 0.00000000e+00 0.00000000e+00]]","[[ 9.23147916e-01  8.91326670e-01  2.33442061e+00  1.05483039e-16
  -6.60340141e-01  1.58673142e+00 -3.45460775e-16  7.65550734e-01
  -7.21396013e-01  1.04451346e-16  0.00000000e+00  0.00000000e+00]]",3
"[[4.57748796e-01 4.26828921e-01 2.92780377e+00 5.63201880e-32
  2.32778988e-01 1.35017248e+00 1.10199171e-31 3.13114668e-01
  2.79903377e-01 8.41655403e-33 0.00000000e+00 0.00000000e+00]]","[[ 1.17230373e+00  1.13205125e+00  2.96490309e+00 -1.09259020e-16
  -8.35272428e-01  2.01292427e+00 -5.39404551e-16  9.68852499e-01
  -9.16866382e-01  9.40062111e-17  0.00000000e+00  0.00000000e+00]]",4
"[[5.70061986e-01 5.31688149e-01 3.64712647e+00 1.16957400e-31
  2.87840578e-01 1.67833602e+00 1.59031550e-31 3.87541485e-01
  3.49106037e-01 8.33238849e-33 0.00000000e+00 0.00000000e+00]]","[[ 1.39696614e+00  1.34919067e+00  3.53362994e+00 -3.45720292e-16
  -9.91305992e-01  2.39615324e+00 -7.08924093e-16  1.15045955e+00
  -1.09351106e+00  8.46055900e-17  0.00000000e+00  0.00000000e+00]]",5
"[[6.81538640e-01 6.35818100e-01 4.36148322e+00 1.28501908e-31
  3.41678580e-01 2.00280751e+00 2.33890606e-31 4.60466104e-01
  4.18000937e-01 8.24906461e-33 0.00000000e+00 0.00000000e+00]]","[[ 1.59958119e+00  1.54509910e+00  4.04677027e+00 -1.98391523e-16
  -1.13032746e+00  2.74070813e+00 -9.14526478e-16  1.31254179e+00
  -1.25320634e+00  7.61450310e-17  0.00000000e+00  0.00000000e+00]]",6
"[[7.92185263e-01 7.39223689e-01 5.07091566e+00 2.79804302e-31
  3.94307723e-01 2.32361653e+00 2.32499950e-31 5.31907558e-01
  4.86588828e-01 1.32185507e-32 0.00000000e+00 0.00000000e+00]]","[[ 1.78235038e+00  1.72189534e+00  4.50987621e+00 -5.69176760e-16
  -1.25403493e+00  3.05044987e+00 -7.92280150e-16  1.45705221e+00
  -1.39764097e+00  1.39607787e-16  0.00000000e+00  0.00000000e+00]]",7
"[[9.02008344e-01 8.41909803e-01 5.77546487e+00 3.74474218e-31
  4.45742670e-01 2.64079250e+00 2.35021021e-31 6.01884747e-01
  5.54870460e-01 5.04381346e-32 0.00000000e+00 0.00000000e+00]]","[[ 1.94725516e+00  1.88148639e+00  4.92794461e+00 -2.00060494e-16
  -1.36395679e+00  3.32885338e+00 -7.82665859e-16  1.58574864e+00
  -1.52833485e+00  3.18913067e-16  0.00000000e+00  0.00000000e+00]]",8
"[[1.01101436e+00 9.43881302e-01 6.47517134e+00 3.72441548e-31
  4.95998019e-01 2.95436470e+00 2.34252033e-31 6.70416435e-01
  6.22846578e-01 5.12226660e-32 0.00000000e+00 0.00000000e+00]]","[[ 2.09607891e+00  2.02558855e+00  5.30547257e+00 -2.21431632e-16
  -1.46146874e+00  3.57904618e+00 -6.64634695e-16  1.70021321e+00
  -1.64665598e+00  3.22923192e-16  0.00000000e+00  0.00000000e+00]]",9
"[[1.11920976e+00 1.04514302e+00 7.17007500e+00 3.87236222e-31
  5.45088305e-01 3.26436220e+00 3.42064510e-31 7.37521252e-01
  6.90517923e-01 5.07104394e-32 0.00000000e+00 0.00000000e+00]]","[[ 2.23042674e+00  2.15574658e+00  5.64650742e+00 -3.35373332e-16
  -1.54780899e+00  3.80384315e+00 -9.30067289e-16  1.80186998e+00
  -1.75383558e+00  2.90630872e-16  0.00000000e+00  0.00000000e+00]]",10
