"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 2.24092780e-02  9.92021039e-01  1.10276314e+00  9.59376400e-01
  1.17797196e+00  1.30672969e-01  1.38972470e+00 -5.01489730e-01
 -3.66029780e-01  9.18425195e-01  9.12148961e-01  1.53568239e+00
  1.44825117e+00  1.18442243e+00 -5.26618533e-01 -1.96155402e-01
  1.56927794e-01  1.03172367e+00  1.43809135e+00  1.19861423e+00
  6.92612563e-01  7.85952465e-02  5.70984175e-01 -2.38447946e-01
  1.27791508e+00  5.99115095e-01  1.13157256e+00  8.55239771e-01
 -4.91720031e-02  1.93981327e-01  9.94258345e-01  1.47955717e+00
  3.99787825e-01  1.49076888e+00 -2.59359860e-01  1.07718458e-03
 -4.33208491e-01  1.35289713e+00 -3.92001380e-01 -1.02319479e-01
  2.55060357e-01  1.38670713e+00  3.61982267e-01  6.09082804e-01
  4.10492595e-03  1.05369438e+00 -6.08439683e-02 -4.46183515e-01
 -1.67249649e-01  1.09714116e+00  1.53933827e+00  2.06271858e-01
  4.21124191e-01  1.03604477e+00  1.45635188e+00  7.91729097e-01
  1.30538462e+00  1.46780090e+00  1.21138130e+00 -4.94920986e-01
 -2.75350675e-01 -5.21284458e-01  2.12128668e-01  1.03278343e+00
 -4.10617608e-01  1.23623134e+00 -5.04872940e-01  2.71401929e-01
 -2.11730628e-01  1.37995774e+00  1.35632741e+00  9.16004180e-01
  7.29928544e-01 -1.66729140e-01  1.76277267e-02  8.75900096e-01
  1.45632906e+00  5.76410442e-01  1.18791980e+00 -4.46374110e-02
  1.53466779e+00  1.33140966e+00  7.10702841e-01  1.76125149e-01
 -4.60949106e-01 -5.00338053e-01  2.11477049e-01 -5.39621768e-01]",1
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.25707618  0.75735414  1.33743005  0.7247095   0.94330505  0.36533987
  1.1550578  -0.26682283 -0.13136288  1.1530921   1.14681586  1.30101549
  1.21358427  1.41908934 -0.29195163 -0.4308223   0.3915947   0.79705677
  1.20342445  0.96394732  0.92727947 -0.15607166  0.80565108 -0.47311485
  1.51258198  0.833782    0.89690566  0.62057287  0.1854949  -0.04068558
  0.75959144  1.71422407  0.16512092  1.25610198 -0.49402676 -0.23358972
 -0.66787539  1.58756403 -0.15733448  0.13234742  0.02039345  1.62137403
  0.12731536  0.84374971  0.23877183  0.81902748 -0.29551087 -0.21151661
 -0.40191655  1.33180806  1.77400517  0.44093876  0.18645729  0.80137787
  1.22168498  0.55706219  1.54005152  1.7024678   0.9767144  -0.72958789
 -0.51001758 -0.75595136  0.44679557  0.79811653 -0.64528451  1.00156444
 -0.73953984  0.50606883  0.02293627  1.61462464  1.12166051  0.68133728
  0.49526164  0.06793776 -0.21703918  1.110567    1.22166216  0.81107734
  1.4225867   0.19002949  1.7693347   1.56607656  0.47603594 -0.05854175
 -0.69561601 -0.73500496 -0.02318985 -0.77428867]",2
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.18372933  0.68400728  1.4107769   0.65136264  1.01665191  0.43868673
  1.08171095 -0.34016968 -0.20470973  1.07974524  1.22016272  1.37436234
  1.14023742  1.34574248 -0.36529848 -0.35747545  0.31824784  0.87040362
  1.1300776   0.89060047  1.00062632 -0.0827248   0.87899793 -0.39976799
  1.58592884  0.90712885  0.97025251  0.69391972  0.25884175  0.03266128
  0.8329383   1.64087722  0.09177407  1.18275512 -0.42067991 -0.16024286
 -0.59452854  1.66091088 -0.23068133  0.05900057 -0.0529534   1.54802718
  0.05396851  0.77040285  0.31211868  0.89237433 -0.36885772 -0.28486347
 -0.47526341  1.40515491  1.84735202  0.36759191  0.25980414  0.72803101
  1.14833812  0.63040905  1.61339838  1.62912095  0.90336755 -0.80293474
 -0.43667072 -0.68260451  0.37344872  0.72476968 -0.71863136  0.92821758
 -0.66619299  0.57941569 -0.05041058  1.68797149  1.04831366  0.60799042
  0.42191479 -0.00540909 -0.29038603  1.03722015  1.14831531  0.73773049
  1.49593355  0.26337634  1.69598784  1.63942342  0.40268908  0.0148051
 -0.76896286 -0.6616581   0.050157   -0.70094182]",3
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.00821365  0.4920643   1.60271988  0.84330563  0.82470893  0.63062971
  1.27365393 -0.53211266 -0.39665271  1.27168823  1.02821974  1.56630532
  0.94829443  1.1537995  -0.1733555  -0.16553247  0.12630486  1.0623466
  0.93813461  1.08254345  0.80868334 -0.27466778  0.68705495 -0.59171098
  1.39398586  0.71518587  1.16219549  0.8858627   0.45078473  0.22460426
  0.64099531  1.44893424 -0.10016891  1.37469811 -0.22873693 -0.35218585
 -0.78647152  1.85285386 -0.42262431 -0.13294241 -0.24489638  1.73997016
 -0.13797447  0.57845987  0.50406166  1.08431732 -0.17691474 -0.09292048
 -0.28332042  1.21321193  2.039295    0.17564893  0.06786116  0.919974
  0.95639514  0.43846607  1.4214554   1.82106393  0.71142457 -0.61099176
 -0.62861371 -0.49066153  0.5653917   0.53282669 -0.91057435  1.12016057
 -0.47425001  0.3874727  -0.24235356  1.49602851  0.85637067  0.79993341
  0.22997181  0.18653389 -0.48232901  0.84527716  0.95637233  0.92967347
  1.68787653  0.45531933  1.88793082  1.8313664   0.2107461  -0.17713788
 -0.57701988 -0.85360108 -0.14178598 -0.50899884]",4
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.36864648  0.85249713  1.96315271  1.20373845  1.18514175  0.99106254
  1.63408676 -0.89254549 -0.75708554  1.63212105  0.66778691  1.92673815
  1.30872726  1.51423233 -0.53378833 -0.5259653   0.48673769  1.42277943
  1.29856744  0.72211062  1.16911617  0.08576504  0.32662212 -0.23127815
  1.03355303  0.35475304  1.52262832  1.24629553  0.09035191  0.58503709
  0.28056249  1.08850141 -0.46060174  1.01426528 -0.58916976 -0.71261867
 -1.14690435  1.49242104 -0.78305714 -0.49337524  0.11553645  2.10040299
  0.22245836  0.21802704  0.86449449  0.72388449  0.18351809  0.26751234
  0.0771124   0.8527791   1.67886217  0.53608175  0.42829399  0.55954117
  0.59596231  0.79889889  1.78188822  1.4606311   1.07185739 -0.97142459
 -0.26818088 -0.1302287   0.92582453  0.17239387 -0.55014152  1.48059339
 -0.83468284  0.74790553 -0.60278639  1.85646134  0.49593785  1.16036623
 -0.13046102  0.54696672 -0.84276184  0.48484434  0.5959395   0.56924064
  1.32744371  0.81575215  2.24836365  2.19179923  0.57117893  0.18329495
 -0.93745271 -0.49316826 -0.50221881 -0.86943166]",5
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.75598353  0.46516008  2.35048976  1.5910755   1.5724788   1.37839958
  2.02142381 -1.27988254 -1.14442259  1.244784    1.05512396  2.3140752
  1.69606431  1.12689528 -0.14645128 -0.13862825  0.09940064  1.03544238
  1.68590449  0.33477357  0.78177912  0.47310209 -0.06071493 -0.6186152
  0.64621598 -0.03258401  1.13529127  0.85895848 -0.29698514  0.97237414
  0.66789954  1.47583846 -0.07326469  0.62692823 -0.20183271 -1.09995572
 -0.7595673   1.87975809 -1.17039419 -0.88071229  0.5028735   1.71306594
  0.60979541  0.60536409  0.47715744  0.33654744  0.57085514 -0.11982471
  0.46444945  1.24011615  1.29152513  0.9234188   0.81563104  0.17220412
  0.20862526  1.18623594  1.39455117  1.07329405  0.68452035 -0.58408754
  0.11915617  0.25710835  0.53848748  0.55973092 -0.16280447  1.09325634
 -0.44734579  0.36056848 -0.21544934  2.24379839  0.1086008   0.77302918
 -0.51779807  0.93430377 -0.45542479  0.87218139  0.98327655  0.95657769
  0.94010666  0.4284151   1.8610266   2.57913628  0.95851598 -0.2040421
 -0.55011566 -0.10583121 -0.88955586 -1.25676871]",6
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.66186179  0.55928182  2.25636802  1.68519724  1.66660054  1.47252132
  1.92730207 -1.1857608  -1.23854433  1.15066226  1.1492457   2.40819694
  1.79018605  1.22101702 -0.24057302 -0.04450651  0.19352238  0.94132064
  1.59178275  0.42889531  0.87590086  0.56722383  0.03340681 -0.52449346
  0.74033772 -0.12670575  1.04116953  0.95308022 -0.39110688  0.8782524
  0.76202128  1.38171672  0.02085705  0.72104997 -0.10771097 -1.00583398
 -0.85368904  1.78563635 -1.07627245 -0.97483403  0.59699524  1.6189442
  0.51567367  0.69948583  0.3830357   0.2424257   0.4767334  -0.21394645
  0.37032771  1.33423789  1.38564687  0.82929706  0.90975278  0.26632586
  0.302747    1.28035768  1.30042943  0.97917231  0.59039861 -0.67820928
  0.21327791  0.16298661  0.44436574  0.65385266 -0.25692621  0.9991346
 -0.54146753  0.26644674 -0.30957108  2.33792013  0.20272254  0.67890744
 -0.61191981  1.02842551 -0.36130305  0.96630312  0.88915481  1.05069943
  0.84598492  0.33429337  1.95514834  2.48501454  0.86439424 -0.10992036
 -0.6442374  -0.01170947 -0.79543412 -1.35089045]",7
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.67103067  0.55011295  2.24719915  1.67602837  1.67576942  1.4816902
  1.93647094 -1.19492967 -1.2477132   1.14149339  1.14007682  2.41736581
  1.79935492  1.23018589 -0.24974189 -0.05367538  0.18435351  0.95048952
  1.60095162  0.41972644  0.88506973  0.55805496  0.04257568 -0.51532459
  0.74950659 -0.13587462  1.05033841  0.94391135 -0.38193801  0.86908353
  0.77119015  1.37254784  0.01168818  0.73021884 -0.09854209 -0.99666511
 -0.86285791  1.79480522 -1.08544132 -0.9840029   0.60616411  1.62811307
  0.52484254  0.69031696  0.39220458  0.23325683  0.48590227 -0.22311532
  0.36115884  1.32506902  1.39481574  0.83846594  0.91892165  0.25715699
  0.29357813  1.28952656  1.29126056  0.98834118  0.59956748 -0.68737815
  0.20410904  0.15381774  0.43519686  0.64468378 -0.24775733  0.98996573
 -0.5506364   0.27561562 -0.31873995  2.347089    0.21189141  0.66973857
 -0.60275094  1.03759438 -0.37047192  0.95713425  0.87998594  1.05986831
  0.85515379  0.34346224  1.96431721  2.49418341  0.85522537 -0.11908924
 -0.65340627 -0.00254059 -0.80460299 -1.34172158]",8
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-1.63033056e+00 -4.09186943e-01  3.20649904e+00  2.63532826e+00
  7.16469527e-01  5.22390307e-01  2.89577083e+00 -2.35629784e-01
 -2.88413313e-01  1.82193502e-01  2.09937671e+00  1.45806592e+00
  8.40055034e-01  2.18948578e+00  7.09557997e-01  9.05624509e-01
  1.14365340e+00  1.90978941e+00  2.56025151e+00  1.37902633e+00
 -7.42301615e-02  1.51735485e+00 -9.16724206e-01  4.43975305e-01
 -2.09793299e-01 -1.09517451e+00  9.10385156e-02 -1.53885417e-02
  5.77361880e-01  1.82838342e+00  1.73049004e+00  2.33184773e+00
 -9.47611714e-01  1.68951873e+00 -1.05784198e+00 -3.73652212e-02
 -1.82215780e+00  2.75410511e+00 -1.26141433e-01 -2.47030114e-02
  1.56546400e+00  6.68813179e-01  1.48414243e+00 -2.68982930e-01
 -5.67095315e-01 -7.26043064e-01  1.44520216e+00  7.36184572e-01
  1.32045873e+00  3.65769131e-01  4.35515848e-01 -1.20833953e-01
 -4.03782393e-02  1.21645688e+00  1.25287802e+00  3.30226667e-01
  2.25056045e+00  1.94764108e+00 -3.59732412e-01 -1.64667804e+00
  1.16340893e+00 -8.05482150e-01  1.39449675e+00 -3.14616107e-01
  7.11542556e-01  1.94926562e+00 -1.50993629e+00 -6.83684275e-01
 -1.27803984e+00  1.38778911e+00  1.17119130e+00  1.62903846e+00
 -1.56205083e+00  1.99689427e+00 -1.32977181e+00 -2.16563808e-03
 -7.93139544e-02  2.01916820e+00 -1.04146100e-01 -6.15837652e-01
  2.92361710e+00  3.45348330e+00 -1.04074522e-01  8.40210654e-01
 -1.61270616e+00 -9.61840483e-01  1.54696897e-01 -2.30102147e+00]",9
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-1.50142993 -0.53808757  3.07759841  2.50642763  0.84537015  0.39348968
  2.76687021 -0.10672916 -0.41731394  0.31109413  2.22827734  1.58696655
  0.96895566  2.31838641  0.83845862  0.77672388  1.01475277  2.03869003
  2.43135089  1.50792696 -0.20313079  1.64625548 -1.04562483  0.31507468
 -0.08089267 -0.96627389 -0.03786211  0.11351208  0.44846125  1.95728404
  1.85939066  2.46074836 -1.07651234  1.81841936 -1.18674261 -0.16626585
 -1.95105843  2.62520448 -0.25504206 -0.15360364  1.69436463  0.53991255
  1.61304306 -0.39788356 -0.43819469 -0.85494369  1.31630153  0.60728395
  1.44935936  0.49466976  0.30661522  0.00806667  0.08852239  1.3453575
  1.38177865  0.20132604  2.37946108  2.0765417  -0.23083179 -1.77557867
  1.29230955 -0.67658152  1.26559613 -0.44351673  0.58264193  1.820365
 -1.38103566 -0.8125849  -1.14913922  1.25888849  1.04229067  1.50013784
 -1.69095145  2.1257949  -1.20087119 -0.13106626  0.04958667  2.14806882
 -0.23304673 -0.48693703  2.79471648  3.32458267 -0.23297515  0.71131003
 -1.48380554 -0.83293986  0.28359752 -2.4299221 ]",10
