v,m,t
"[[1.66750282e-01 7.20473569e-02 6.53465129e-02 9.26665182e-04
  3.90225001e-02 4.85137678e-04 5.21148222e-02 1.47483696e-01
  1.04264929e-01 9.60032187e-03 1.18695566e-01 1.37049104e-02
  3.98985179e-02 3.05788009e-02 3.65517142e-03 2.01452151e-03
  5.26914949e-03 2.81405390e-02 1.15336038e-05 1.50662952e-01
  3.38705774e-02 7.05749432e-03 1.42794292e-05 1.27994446e-01
  3.70368243e-02 2.02318367e-03 1.22602773e-02 3.73962205e-03
  9.78529243e-03 9.92734998e-02 1.29390915e-01 5.29272354e-02
  3.55513834e-02 1.09017790e-01 6.12807585e-02 1.43216982e-02
  4.19961255e-02 1.13435975e-02 2.29388239e-03 3.52261836e-02
  9.80400410e-03 2.12710646e-03 1.09289234e-02 2.18996945e-02
  1.14963320e-02 5.52277579e-32 9.13503974e-33 2.01616017e-33
  1.60886541e-03 2.32332054e-02 6.55602090e-33 5.32734032e-33
  4.79060234e-32 2.30803946e-01 3.48829432e-01 2.38592441e-33
  2.98359832e-32 1.67749919e-34 0.00000000e+00 1.68912284e-33]]","[[ 4.08350685e-01  2.68416387e-01  2.55629640e-01  3.04411758e-02
  -1.97541135e-01 -2.20258411e-02 -2.28286710e-01  3.84036061e-01
  -3.22900804e-01  9.79812322e-02  3.44522229e-01  1.17067974e-01
  -1.99746134e-01  1.74867953e-01  6.04580137e-02  4.48834213e-02
   7.25889075e-02 -1.67751420e-01  3.39611598e-03 -3.88153258e-01
  -1.84039608e-01 -8.40088943e-02  3.77881320e-03 -3.57763114e-01
   1.92449537e-01  4.49798141e-02  1.10726137e-01  6.11524492e-02
  -9.89206370e-02  3.15076974e-01  3.59709487e-01 -2.30059200e-01
  -1.88550745e-01  3.30178421e-01 -2.47549507e-01  1.19673298e-01
  -2.04929562e-01  1.06506326e-01 -4.78944923e-02 -1.87686397e-01
  -9.90151711e-02  4.61205644e-02  1.04541491e-01  1.47985454e-01
  -1.07220949e-01 -2.35005868e-16 -9.55774018e-17 -4.49016722e-17
  -4.01106645e-02  1.52424425e-01  8.09692590e-17  7.29886314e-17
  -2.18874447e-16  4.80420593e-01  5.90617839e-01  4.88459253e-17
  -1.72730956e-16 -1.29518307e-17  0.00000000e+00  4.10989396e-17]]",1
"[[3.30875053e-01 1.43691756e-01 1.29928518e-01 1.79515449e-03
  7.70926388e-02 9.10222663e-04 1.02897366e-01 2.93498291e-01
  2.06850777e-01 1.91225649e-02 2.35821627e-01 2.76962889e-02
  7.91759949e-02 6.04135389e-02 7.26291677e-03 4.00892287e-03
  1.04180813e-02 5.66992265e-02 2.89230553e-05 3.00634363e-01
  6.68937670e-02 1.39726498e-02 1.62893135e-05 2.55444819e-01
  7.30275960e-02 4.02863846e-03 2.42436053e-02 7.09843625e-03
  1.95486914e-02 1.97407506e-01 2.58005322e-01 1.05509764e-01
  7.04512715e-02 2.16549092e-01 1.22506614e-01 2.85104791e-02
  8.34049610e-02 2.23981530e-02 4.55957790e-03 7.07020403e-02
  1.96414689e-02 4.26209714e-03 2.16708129e-02 4.34985534e-02
  2.30965843e-02 7.07426484e-32 2.12553794e-32 5.73121566e-32
  3.15971651e-03 4.64860500e-02 2.81248187e-32 2.00070789e-32
  4.90254683e-32 4.56621335e-01 6.92650425e-01 2.36206517e-33
  2.95376234e-32 1.53384037e-33 0.00000000e+00 1.69700605e-33]]","[[ 7.74691591e-01  5.10581947e-01  4.85479030e-01  5.70240047e-02
  -3.73900162e-01 -4.05581639e-02 -4.31961222e-01  7.29675983e-01
  -6.12524528e-01  1.86255767e-01  6.54036597e-01  2.24224239e-01
  -3.78961033e-01  3.30991428e-01  1.14780226e-01  8.52787797e-02
   1.37452297e-01 -3.20799989e-01  7.24037670e-03 -7.38539732e-01
  -3.48288037e-01 -1.59188687e-01  4.86813281e-03 -6.80776878e-01
   3.63890555e-01  8.54894612e-02  2.09680477e-01  1.13314219e-01
  -1.88332409e-01  5.98413272e-01  6.84166500e-01 -4.37513257e-01
  -3.57459889e-01  6.26738309e-01 -4.71468366e-01  2.27422290e-01
  -3.88957502e-01  2.01534412e-01 -9.09447162e-02 -3.58200927e-01
  -1.88790656e-01  8.79440735e-02  1.98256333e-01  2.80895594e-01
  -2.04735704e-01 -8.47489477e-17 -1.96526178e-16 -2.75605378e-16
  -7.56841879e-02  2.90430724e-01  2.19958560e-16 -5.56898509e-17
  -1.57005691e-16  9.10003312e-01  1.12088558e+00  4.39613327e-17
  -1.55457861e-16 -4.86399946e-17  0.00000000e+00  3.20116522e-17]]",2
"[[4.92361937e-01 2.14936716e-01 1.93752512e-01 2.60617703e-03
  1.14216855e-01 1.27913502e-03 1.52358176e-01 4.38070084e-01
  3.07762072e-01 2.85693827e-02 3.51383346e-01 4.19677728e-02
  1.17846035e-01 8.95063717e-02 1.08224551e-02 5.98314869e-03
  1.54485144e-02 8.56716863e-02 5.35015095e-05 4.49898227e-01
  9.90652524e-02 2.07455933e-02 1.68046225e-05 3.82339465e-01
  1.07999134e-01 6.01629444e-03 3.59557172e-02 1.00966656e-02
  2.92905215e-02 2.94398542e-01 3.85831607e-01 1.57733330e-01
  1.04709809e-01 3.22608551e-01 1.83669168e-01 4.25659520e-02
  1.24228332e-01 3.31683322e-02 6.79588855e-03 1.06424250e-01
  2.95083347e-02 6.40596209e-03 3.22292835e-02 6.48013847e-02
  3.47910270e-02 7.04628550e-32 2.19563440e-32 5.90004212e-32
  4.65432573e-03 6.97612290e-02 2.80115555e-32 1.98095174e-32
  4.86542166e-32 6.77544703e-01 1.03147289e+00 2.33844452e-33
  2.92750302e-32 2.10767606e-33 0.00000000e+00 1.19382980e-32]]","[[ 1.10317272e+00  7.29119519e-01  6.92123758e-01  8.01135142e-02
  -5.31176893e-01 -5.59449445e-02 -6.13464419e-01  1.04077449e+00
  -8.72176738e-01  2.65803728e-01  9.32027661e-01  3.22418757e-01
  -5.39714875e-01  4.70220368e-01  1.63569669e-01  1.21632023e-01
   1.95363288e-01 -4.60590442e-01  1.15030900e-02 -1.05490391e+00
  -4.94678501e-01 -2.26412286e-01  3.55778926e-03 -9.72489537e-01
   5.16450737e-01  1.21973196e-01  2.98049285e-01  1.57383282e-01
  -2.69185261e-01  8.53159152e-01  9.76868028e-01 -6.24583644e-01
  -5.08697992e-01  8.93040085e-01 -6.74096667e-01  3.24432212e-01
  -5.54163247e-01  2.86234014e-01 -1.29619549e-01 -5.13245263e-01
  -2.70227494e-01  1.25909541e-01  2.82234259e-01  4.00243536e-01
  -2.93465652e-01 -9.69533456e-17 -2.07098026e-16 -2.00490806e-16
  -1.07182461e-01  4.15465682e-01  2.10923607e-16 -4.85367833e-17
  -1.30396274e-16  1.29386041e+00  1.59680124e+00  3.95651995e-17
  -1.45637723e-16 -1.95030867e-17  0.00000000e+00 -7.24725918e-17]]",3
"[[6.51161989e-01 2.85799976e-01 2.56843286e-01 3.36072205e-03
  1.50407061e-01 1.59412838e-03 2.00488667e-01 5.81263343e-01
  4.07018676e-01 3.79613652e-02 4.65393170e-01 5.65081519e-02
  1.55930030e-01 1.17852903e-01 1.43346375e-02 7.93854467e-03
  2.03673502e-02 1.15034021e-01 8.70523480e-05 5.98428142e-01
  1.30355531e-01 2.73790853e-02 2.59298948e-05 5.08655306e-01
  1.42009830e-01 7.98749022e-03 4.74082558e-02 1.27589308e-02
  3.90150112e-02 3.90212067e-01 5.12849100e-01 2.09548845e-01
  1.38352707e-01 4.27256285e-01 2.44765363e-01 5.64914688e-02
  1.64467440e-01 4.36609754e-02 9.00026614e-03 1.42393211e-01
  3.93985547e-02 8.56142265e-03 4.26151323e-02 8.58262188e-02
  4.65558860e-02 7.20082265e-32 1.60771703e-31 6.36976249e-32
  6.09602389e-03 9.30755373e-02 4.11467284e-32 5.69857385e-32
  4.81792534e-32 8.93776635e-01 1.36536348e+00 2.31506007e-33
  2.98449748e-32 1.01609515e-32 0.00000000e+00 1.18189151e-32]]","[[ 1.39748326e+00  9.26416055e-01  8.77917851e-01  1.00041504e-01
  -6.71275079e-01 -6.84552759e-02 -7.74949915e-01  1.32085061e+00
  -1.10485627e+00  3.37598537e-01  1.18164213e+00  4.12488192e-01
  -6.83890947e-01  5.94200070e-01  2.07382520e-01  1.54360106e-01
   2.47054208e-01 -5.88367675e-01  1.61910901e-02 -1.34060260e+00
  -6.24879601e-01 -2.86481081e-01  1.53515866e-04 -1.23598874e+00
   6.52130747e-01  1.54846474e-01  3.76927823e-01  1.94211406e-01
  -3.42353672e-01  1.08210031e+00  1.24094884e+00 -7.93194206e-01
  -6.44080697e-01  1.13217758e+00 -8.57551280e-01  4.11785386e-01
  -7.02416731e-01  3.61650636e-01 -1.64326625e-01 -6.54360867e-01
  -3.44127009e-01  1.60430371e-01  3.57490983e-01  5.07436192e-01
  -3.74177114e-01 -3.98238455e-17  1.86485646e-16 -1.07728536e-16
  -1.35041947e-01  5.28876917e-01  7.40068601e-17 -2.37007486e-16
  -1.13953860e-16  1.63671094e+00  2.02381126e+00  3.56086795e-17
  -1.01702282e-16 -1.07410177e-16  0.00000000e+00 -6.52253326e-17]]",4
"[[8.07198397e-01 3.56311718e-01 3.19239707e-01 4.05997566e-03
  1.85679518e-01 1.85666694e-03 2.47266280e-01 7.23171413e-01
  5.04652124e-01 4.73334002e-02 5.77869255e-01 7.13022001e-02
  1.93455213e-01 1.45443967e-01 1.78015825e-02 9.87748931e-03
  2.51854454e-02 1.44745802e-01 1.31948213e-04 7.46189408e-01
  1.60716793e-01 3.38779101e-02 5.23902428e-05 6.34361336e-01
  1.75141074e-01 9.94460637e-03 5.86174949e-02 1.51125035e-02
  4.87295472e-02 4.84789682e-01 6.39030252e-01 2.60879455e-01
  1.71417936e-01 5.30588468e-01 3.05796484e-01 7.02931533e-02
  2.04122892e-01 5.38845802e-02 1.11691856e-02 1.78612861e-01
  4.93045350e-02 1.07325752e-02 5.28446328e-02 1.06600829e-01
  5.83556587e-02 1.48795009e-31 1.59179026e-31 7.59443882e-32
  7.48926398e-03 1.16456532e-01 6.98439546e-32 1.13022759e-31
  6.10213944e-32 1.10560207e+00 1.69443066e+00 2.29190947e-33
  2.95465251e-32 1.08214374e-32 0.00000000e+00 1.18152982e-32]]","[[ 1.66090739e+00  1.10464295e+00  1.04500811e+00  1.17108756e-01
  -7.95919644e-01 -7.82974634e-02 -9.18322530e-01  1.57311006e+00
  -1.31328072e+00  4.02589119e-01  1.40572055e+00  4.95171329e-01
  -8.13199812e-01  7.04396081e-01  2.46729969e-01  1.83849924e-01
   2.93213226e-01 -7.05207090e-01  2.13370671e-02 -1.59864634e+00
  -7.40337746e-01 -3.40128876e-01 -5.03094077e-03 -1.47404244e+00
   7.72797585e-01  1.84494864e-01  4.47324455e-01  2.24601528e-01
  -4.08640372e-01  1.28770509e+00  1.47922068e+00 -9.45015648e-01
  -7.65276390e-01  1.34699144e+00 -1.02374610e+00  4.90467597e-01
  -8.35399385e-01  4.28733888e-01 -1.95422081e-01 -7.82944321e-01
  -4.11203055e-01  1.91892773e-01  4.24968102e-01  6.03773751e-01
  -4.47508360e-01  2.42559087e-16  1.71715271e-16  1.65508794e-17
  -1.59671731e-01  6.31911483e-01  2.37218874e-16 -4.51228736e-16
  -2.17987818e-16  1.94289429e+00  2.40685376e+00  3.20478116e-17
  -9.15320537e-17 -6.90630834e-17  0.00000000e+00 -4.79989549e-17]]",5
"[[9.60419163e-01 4.26495402e-01 3.80969030e-01 4.70509671e-03
  2.20047471e-01 2.06972645e-03 2.92681785e-01 8.63862762e-01
  6.00684344e-01 5.67097731e-02 6.88825299e-01 8.63369534e-02
  2.30443316e-01 1.72275258e-01 2.12244965e-02 1.18014536e-02
  2.99103966e-02 1.74776962e-01 1.90643385e-04 8.93153398e-01
  1.90119260e-01 4.02452495e-02 1.03815920e-04 7.59435600e-01
  2.07452264e-01 1.18891222e-02 6.95960316e-02 1.71809749e-02
  5.84391420e-02 5.78093294e-01 7.64354692e-01 3.11669363e-01
  2.03934126e-01 6.32674100e-01 3.66761263e-01 8.39746285e-02
  2.43195622e-01 6.38461682e-02 1.33001271e-02 2.15085686e-01
  5.92200399e-02 1.29224582e-02 6.29293991e-02 1.27143913e-01
  7.01624081e-02 1.47945088e-31 1.74248034e-31 8.36878135e-32
  8.83738903e-03 1.39922473e-01 8.70104204e-32 1.11906964e-31
  6.41223047e-32 1.31323200e+00 2.01874584e+00 9.11670213e-32
  2.92510598e-32 1.07132528e-32 0.00000000e+00 1.42189788e-32]]","[[ 1.89642934e+00  1.26574227e+00  1.19530471e+00  1.31584152e-01
  -9.06655681e-01 -8.56869871e-02 -1.04532393e+00  1.80040673e+00
  -1.49988148e+00  4.61575897e-01  1.60681315e+00  5.71144337e-01
  -9.29168084e-01  8.02140095e-01  2.82064720e-01  2.10439805e-01
   3.34438382e-01 -8.12108529e-01  2.69502729e-02 -1.83175230e+00
  -8.42399501e-01 -3.88006882e-01 -1.17354524e-02 -1.68915423e+00
   8.80078389e-01  2.11255574e-01  5.10131359e-01  2.49253969e-01
  -4.68755988e-01  1.47222600e+00  1.69422387e+00 -1.08159568e+00
  -8.73763261e-01  1.53999875e+00 -1.17439865e+00  5.61355848e-01
  -9.54625221e-01  4.88332123e-01 -2.23236323e-01 -9.00248850e-01
  -4.72105053e-01  2.20632701e-01  4.85491739e-01  6.90396689e-01
  -5.14069276e-01  2.43562420e-16  2.54670301e-17  1.07106795e-16
  -1.81427464e-01  7.25661424e-01  7.98373247e-17 -4.02306842e-16
  -1.35270040e-16  2.21624356e+00  2.75034257e+00 -2.69314698e-16
  -8.23788484e-17 -6.19843172e-17  0.00000000e+00 -9.34169210e-17]]",6
"[[1.11080163e+00 4.96365067e-01 4.42044739e-01 5.29723821e-03
  2.53520493e-01 2.23761487e-03 3.36741083e-01 1.00337635e+00
  6.95125975e-01 6.61017086e-02 7.98269585e-01 1.01602427e-01
  2.66909656e-01 1.98347985e-01 2.46034947e-02 1.37108801e-02
  3.45459682e-02 2.05111173e-01 2.65458892e-04 1.03929898e+00
  2.18553564e-01 4.64823847e-02 1.87313995e-04 8.83866123e-01
  2.38977905e-01 1.38214933e-02 8.03520174e-02 1.89842074e-02
  6.81458291e-02 6.70108894e-01 8.88810728e-01 3.61888728e-01
  2.35918561e-01 7.33548920e-01 4.27655230e-01 9.75366522e-02
  2.81687058e-01 7.35510106e-02 1.53917078e-02 2.51811843e-01
  6.91404936e-02 1.51328055e-02 7.28755646e-02 1.47463795e-01
  8.19580570e-02 1.71313155e-31 2.09199323e-31 1.58880704e-31
  1.01424990e-02 1.63480634e-01 8.61584796e-32 1.25647397e-31
  8.21714183e-32 1.51679171e+00 2.33833829e+00 1.13729093e-31
  2.90010726e-32 1.06061203e-32 0.00000000e+00 1.65491756e-32]]","[[ 2.10676973e+00  1.41144478e+00  1.33050036e+00  1.43707993e-01
  -1.00486440e+00 -9.08509389e-02 -1.15755435e+00  2.00527152e+00
  -1.66682940e+00  5.15213263e-01  1.78720739e+00  6.41029285e-01
  -1.03315423e+00  8.88645850e-01  3.13785230e-01  2.34422938e-01
   3.71241790e-01 -9.10012110e-01  3.30143518e-02 -2.04237538e+00
  -9.32330434e-01 -4.30689859e-01 -1.97562659e-02 -1.88359109e+00
   9.75374024e-01  2.35420880e-01  5.66131989e-01  2.68770020e-01
  -5.23325342e-01  1.63772777e+00  1.88825655e+00 -1.20438212e+00
  -9.70842286e-01  1.71341537e+00 -1.31104849e+00  6.25227638e-01
  -1.06145801e+00  5.41200947e-01 -2.48078165e-01 -1.00739651e+00
  -5.27425782e-01  2.46938552e-01  5.39779619e-01  7.68296874e-01
  -5.74453550e-01  6.15752256e-17  2.14476507e-16  3.72131077e-16
  -2.00614114e-01  8.11074350e-01  6.75917335e-17 -2.40176598e-16
  -2.58455642e-16  2.46012112e+00  3.05821475e+00 -8.91717981e-17
  -8.06619562e-17 -5.57858855e-17  0.00000000e+00 -1.33798328e-16]]",7
"[[1.25833912e+00 5.65929654e-01 5.02473122e-01 5.83762523e-03
  2.86106371e-01 2.36518520e-03 3.79457983e-01 1.14173534e+00
  7.87981855e-01 7.55135232e-02 9.06207534e-01 1.17090113e-01
  3.02866034e-01 2.23666344e-01 2.79381646e-02 1.56057004e-02
  3.90939573e-02 2.35739543e-01 3.58620028e-04 1.18460896e+00
  2.46021086e-01 5.25896238e-02 3.09670730e-04 1.00764633e+00
  2.69739543e-01 1.57416703e-02 9.08912466e-02 2.05401782e-02
  7.78499968e-02 7.60835304e-01 1.01239204e+00 4.11521589e-01
  2.67382622e-01 8.33231136e-01 4.88472464e-01 1.10978505e-01
  3.19598944e-01 8.30034210e-02 1.74431569e-02 2.88790221e-01
  7.90622777e-02 1.73646384e-02 8.26863871e-02 1.67563381e-01
  9.37297962e-02 1.84164212e-31 2.08968242e-31 1.83704665e-31
  1.14060487e-02 1.87132423e-01 1.07447401e-31 1.25920601e-31
  1.33737334e-31 1.71636138e+00 2.65321616e+00 1.24950804e-31
  2.87110619e-32 2.15580703e-32 0.00000000e+00 1.65691792e-32]]","[[ 2.29439604e+00  1.54329890e+00  1.45210466e+00  1.53696163e-01
  -1.09178416e+00 -9.40111086e-02 -1.25647148e+00  2.18996216e+00
  -1.81606914e+00  5.64055434e-01  1.94895786e+00  7.05393124e-01
  -1.12637245e+00  9.65013944e-01  3.42245698e-01  2.56057569e-01
   4.04070801e-01 -9.99785571e-01  3.95014673e-02 -2.23273001e+00
  -1.01129802e+00 -4.68689134e-01 -2.89264850e-02 -2.05940071e+00
   1.05991193e+00  2.57248296e-01  6.16021135e-01  2.83675943e-01
  -5.72902700e-01  1.78608878e+00  2.06339438e+00 -1.31470731e+00
  -1.05766903e+00  1.86920944e+00 -1.43507848e+00  6.82776598e-01
  -1.15712587e+00  5.88016081e-01 -2.70231675e-01 -1.10539412e+00
  -5.77703537e-01  2.71062327e-01  5.88464104e-01  8.38348852e-01
  -6.29219246e-01  1.76099884e-16  2.36167143e-16  1.72397917e-16
  -2.17498267e-01  8.88984510e-01 -8.79979008e-17 -1.77047831e-16
  -4.61493518e-16  2.67750688e+00  3.33399558e+00 -1.91425663e-16
  -7.25957606e-17 -1.55364376e-16  0.00000000e+00 -1.34038161e-16]]",8
"[[1.40303336e+00 6.35195572e-01 5.62257007e-01 6.32759373e-03
  3.17812180e-01 2.45743193e-03 4.20850177e-01 1.27895480e+00
  8.79254132e-01 8.49461466e-02 1.01264316e+00 1.32792108e-01
  3.38322354e-01 2.48236101e-01 3.12278886e-02 1.74856249e-02
  4.35552522e-02 2.66656912e-01 4.72295757e-04 1.32906811e+00
  2.72528569e-01 5.85668279e-02 4.77408337e-04 1.13077249e+00
  2.99752439e-01 1.76493885e-02 1.01218351e-01 2.18659603e-02
  8.75511530e-02 8.50277812e-01 1.13509582e+00 4.60558930e-01
  2.98334905e-01 9.31730400e-01 5.49206602e-01 1.24298766e-01
  3.56933235e-01 9.22072065e-02 1.94540221e-02 3.26019103e-01
  8.89823308e-02 1.96185993e-02 9.23637227e-02 1.87442939e-01
  1.05467408e-01 1.82541765e-31 2.12774534e-31 2.18955831e-31
  1.26291808e-02 2.10876272e-01 1.07579646e-31 1.29170103e-31
  1.33776648e-31 1.91199895e+00 2.96337812e+00 1.35610496e-31
  3.88362630e-32 2.13424896e-32 0.00000000e+00 1.84569516e-32]]","[[ 2.46153887e+00  1.66269372e+00  1.56146956e+00  1.61743309e-01
  -1.16852743e+00 -9.53756180e-02 -1.34339614e+00  2.35650041e+00
  -1.94934649e+00  6.08584318e-01  2.09391160e+00  7.64749526e-01
  -1.20991110e+00  1.03223921e+00  3.67763120e-01  2.75573664e-01
   4.33321702e-01 -1.08222073e+00  4.63800753e-02 -2.40481158e+00
  -1.08036720e+00 -5.02462024e-01 -3.91041967e-02 -2.21842999e+00
   1.13478060e+00  2.76967222e-01  6.60419101e-01  2.94438694e-01
  -6.17982621e-01  1.91900977e+00  2.22151029e+00 -1.41378496e+00
  -1.13527636e+00  2.00913949e+00 -1.54773242e+00  7.34624068e-01
  -1.24273462e+00  6.29383429e-01 -2.89955665e-01 -1.19514645e+00
  -6.23425579e-01  2.93226849e-01  6.32107691e-01  9.01330835e-01
  -6.78880222e-01  1.73295145e-16  2.89335676e-16 -3.74248778e-17
  -2.32316084e-01  9.60133467e-01 -4.44602470e-17 -2.26489960e-16
  -4.52447905e-16  2.87105998e+00  3.58084953e+00 -6.31538148e-17
   3.67045513e-17 -1.39827938e-16  0.00000000e+00 -7.53191795e-17]]",9
"[[1.54489105e+00 7.04167863e-01 6.21397483e-01 6.76860663e-03
  3.48644776e-01 2.51931377e-03 4.60937412e-01 1.41504524e+00
  9.68943680e-01 9.43987331e-02 1.11757974e+00 1.48700710e-01
  3.73287335e-01 2.72063956e-01 3.44719971e-02 1.93502740e-02
  4.79303231e-02 2.97860133e-01 6.08618904e-04 1.47266216e+00
  2.98085659e-01 6.44136526e-02 6.96807530e-04 1.25324258e+00
  3.29028612e-01 1.95442999e-02 1.11337351e-01 2.29781543e-02
  9.72482697e-02 9.38445272e-01 1.25692205e+00 5.08995497e-01
  3.28782666e-01 1.02905189e+00 6.09851305e-01 1.37495672e-01
  3.93692048e-01 1.01165874e-01 2.14240362e-02 3.63496479e-01
  9.88979704e-02 2.18950970e-02 1.01908700e-01 2.07101371e-01
  1.17162033e-01 1.93714444e-31 2.10652795e-31 2.21170420e-31
  1.38128765e-02 2.34708955e-01 1.11761438e-31 1.39953035e-31
  1.64293690e-31 2.10375052e+00 3.26881874e+00 1.34254391e-31
  4.42869012e-32 2.11581960e-32 0.00000000e+00 2.07844838e-32]]","[[ 2.61021157e+00  1.77087698e+00  1.65980845e+00  1.68025354e-01
  -1.23609463e+00 -9.51362368e-02 -1.41952205e+00  2.50670006e+00
  -2.06823040e+00  6.49224891e-01  2.22372983e+00  8.19562510e-01
  -1.28474697e+00  1.09121953e+00  3.90622263e-01  2.93177180e-01
   4.59348190e-01 -1.15803613e+00  5.36183511e-02 -2.56041720e+00
  -1.14050413e+00 -5.32418645e-01 -5.01661942e-02 -2.36234349e+00
   1.20095136e+00  2.94783194e-01  6.99881617e-01  3.01475691e-01
  -6.59007646e-01  2.03802717e+00  2.36429376e+00 -1.50271529e+00
  -1.20459049e+00  2.13478150e+00 -1.65012988e+00  7.81327769e-01
  -1.31927985e+00  6.65846997e-01 -3.07484870e-01 -1.27746730e+00
  -6.65032349e-01  3.13630251e-01  6.71213170e-01  9.57938546e-01
  -7.23904995e-01  2.69974822e-16  2.57951370e-16  3.26813587e-17
  -2.45278226e-01  1.02518360e+00  3.24950044e-17 -3.13725596e-16
  -5.85682271e-16  3.04316151e+00  3.80162069e+00 -5.68384333e-17
   1.09447451e-16 -1.20447796e-16  0.00000000e+00 -1.76663908e-17]]",10
