"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.19770936  0.51189875  0.95650798  0.54027163  0.8163998   0.71736331
  0.49690181  0.02076415  0.06173063  0.43155523  0.58446108  0.64515405
  0.58529411  0.48545598 -0.03285615  0.47398159  0.58041864  0.14980131
  0.12465777  0.97324864  0.3964102   0.61246434  0.3838999   0.80500592
  0.99459654  0.72527312  0.32650917  0.76685839]",1
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.12005914  0.58954896  0.87885777  0.61792185  0.89405002  0.63971309
  0.4192516  -0.05688606 -0.01591958  0.35390501  0.66211129  0.56750384
  0.66294432  0.40780577  0.04479406  0.39633137  0.65806885  0.07215109
  0.20230798  0.89559842  0.31875999  0.69011455  0.46155011  0.72735571
  1.07224675  0.64762291  0.24885896  0.68920818]",2
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.05863368  0.5281235   0.81743231  0.55649639  0.95547548  0.57828763
  0.48067706 -0.11831152  0.04550588  0.41533047  0.72353675  0.50607838
  0.72436978  0.34638031 -0.0166314   0.45775683  0.59664339  0.01072563
  0.26373344  0.83417296  0.38018545  0.62868909  0.40012465  0.66593025
  1.01082129  0.58619745  0.31028442  0.75063364]",3
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.02039307  0.56636411  0.85567291  0.594737    0.99371608  0.61652824
  0.44243645 -0.15655213  0.00726527  0.45357108  0.68529614  0.54431899
  0.68612917  0.3081397   0.02160921  0.49599744  0.55840278 -0.02751498
  0.22549283  0.87241357  0.34194484  0.59044848  0.43836526  0.62768964
  1.0490619   0.54795684  0.34852503  0.71239303]",4
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.02480603  0.521165    0.81047381  0.6399361   0.94851698  0.66172735
  0.48763556 -0.20175124  0.05246438  0.40837197  0.64009703  0.49911988
  0.73132828  0.35333881  0.06680832  0.54119655  0.51320367  0.01768413
  0.18029372  0.82721446  0.38714395  0.63564759  0.39316615  0.67288875
  1.00386279  0.59315595  0.39372413  0.75759214]",5
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.03648965  0.53284862  0.82215742  0.65161972  0.93683336  0.65004373
  0.49931918 -0.19006762  0.064148    0.42005559  0.65178065  0.48743626
  0.7430119   0.36502243  0.0551247   0.55288017  0.52488729  0.00600052
  0.19197734  0.83889808  0.39882756  0.64733121  0.40484977  0.68457237
  0.99217918  0.58147233  0.40540775  0.74590852]",6
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.01161713  0.55772114  0.7972849   0.6267472   0.91196083  0.67491626
  0.5241917  -0.16519509  0.08902052  0.44492812  0.67665318  0.46256374
  0.76788442  0.3401499   0.07999723  0.52800764  0.50001476  0.03087304
  0.16710481  0.81402555  0.37395504  0.67220373  0.37997724  0.65969984
  1.0170517   0.5565998   0.43028028  0.72103599]",7
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.01655719  0.5626612   0.79234483  0.62180713  0.91690089  0.6699762
  0.51925164 -0.17013515  0.09396058  0.44986818  0.68159324  0.4675038
  0.77282448  0.34508996  0.08493729  0.53294771  0.50495482  0.0358131
  0.16216475  0.81896562  0.3788951   0.66726367  0.38491731  0.6646399
  1.02199176  0.55165974  0.42534022  0.72597606]",8
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.01054968  0.56866871  0.78633733  0.61579963  0.9229084   0.67598371
  0.51324413 -0.17614266  0.08795308  0.44386067  0.67558573  0.46149629
  0.76681698  0.33908246  0.0909448   0.53895521  0.49894732  0.0298056
  0.16817226  0.82497312  0.37288759  0.66125616  0.39092481  0.67064741
  1.01598426  0.55766725  0.43134772  0.73198356]",9
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[-0.03080753  0.54841086  0.76607947  0.63605748  0.94316625  0.65572585
  0.53350199 -0.19640051  0.10821093  0.42360282  0.69584359  0.48175414
  0.78707483  0.35934031  0.11120265  0.55921307  0.47868946  0.00954774
  0.18843011  0.80471527  0.39314545  0.64099831  0.37066696  0.69090526
  0.9957264   0.53740939  0.45160558  0.75224142]",10
